index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,
0,2022-07-23-14:24:06,-86,-82,100,100,-93,-57,100,100,-92,100,100,100,-76,-81,-97,100,-77,-90,100,100,100,100,100,100,-79,-78,,-83.12
1,2022-07-23-14:24:11,-80,-79,100,100,-81,-57,100,100,100,100,100,100,-80,-86,-96,100,-88,100,100,100,100,100,100,100,-61,-71,,
2,2022-07-23-14:24:16,-84,-75,100,100,-75,-62,100,100,100,100,100,100,-75,-96,-92,100,-77,100,100,100,100,100,100,100,-59,-70,,
3,2022-07-23-14:24:21,-87,-75,100,100,-87,-64,100,100,100,100,100,100,-77,-83,100,100,-82,100,100,100,100,100,100,100,-60,-78,,
4,2022-07-23-14:24:26,-81,100,100,100,-74,-61,100,100,100,100,100,100,-76,100,100,100,-76,-97,100,100,100,100,100,100,-65,-72,,
5,2022-07-23-14:24:31,-87,-74,100,100,-92,-64,100,100,100,100,100,100,-76,-83,100,100,-78,100,100,100,100,100,100,100,-60,-77,,
6,2022-07-23-14:24:36,-82,-82,100,100,-80,-57,100,100,100,100,100,100,-78,-86,100,100,100,100,100,100,100,100,100,100,-60,-71,,
7,2022-07-23-14:24:41,-83,-76,100,100,-74,-62,100,100,100,100,100,100,-75,100,-91,100,-77,100,100,100,100,100,100,100,-59,-70,,
8,2022-07-23-14:24:46,-80,-80,100,100,-80,-57,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,,
9,2022-07-23-14:24:51,-80,-76,100,100,-74,-62,100,100,-93,100,100,100,-75,100,100,100,-77,100,100,100,100,100,100,100,-59,-70,,
10,2022-07-23-14:24:56,-88,-75,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-92,100,-81,100,100,100,100,100,100,100,-60,-77,,
11,2022-07-23-14:25:01,-80,-80,100,100,-80,-57,100,100,-93,100,100,100,-81,-86,100,100,-93,100,100,100,100,100,100,100,-61,-70,,
12,2022-07-23-14:25:06,100,-74,100,100,100,-64,100,100,100,100,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,-78,,
13,2022-07-23-14:25:11,100,100,100,100,-88,-57,100,100,100,100,100,100,-80,-90,100,100,-95,100,100,100,100,100,100,100,-61,-78,,
14,2022-07-23-14:25:16,-79,-76,100,100,-75,-61,100,100,100,100,100,100,-78,-88,-91,100,-94,100,100,100,100,100,100,100,-59,-70,,
15,2022-07-23-14:25:21,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-80,100,100,100,100,100,100,100,-60,-77,,
16,2022-07-23-14:25:26,-88,-74,100,100,100,-64,100,100,100,100,100,100,-77,-84,100,100,100,100,100,100,100,100,100,100,100,-77,,
17,2022-07-23-14:25:31,-84,100,100,100,-74,-62,100,100,100,100,100,100,-76,-86,-91,100,-77,100,100,100,100,100,100,100,-60,-77,,
18,2022-07-23-14:25:36,-80,-80,100,100,-87,-64,100,100,-93,100,100,100,-81,-86,-97,100,-81,100,100,100,100,100,100,100,-61,-70,,
19,2022-07-23-14:25:41,-84,-76,100,100,-74,-61,100,100,100,100,100,100,-75,-94,-91,100,-77,100,100,100,100,-92,100,100,-59,-70,,
20,2022-07-23-14:25:46,100,-76,100,100,-74,-61,100,100,100,100,100,100,-75,100,-90,100,-77,100,100,100,100,100,100,100,100,-70,,
21,2022-07-23-14:25:51,-80,-76,100,100,-80,-57,100,100,100,100,100,100,-81,100,-91,100,-92,100,100,100,100,100,100,100,-61,-70,,
22,2022-07-23-14:25:56,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-77,-92,-91,100,-77,100,100,100,100,100,100,100,-60,-77,,
23,2022-07-23-14:26:01,-80,-80,100,100,-80,-57,100,100,100,100,100,100,-80,100,-97,100,-92,100,100,100,100,100,100,100,-61,-70,,
24,2022-07-23-14:26:06,-80,-79,100,100,-80,-57,100,100,100,100,100,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,-70,,
25,2022-07-23-14:26:11,-88,-74,100,100,-87,-64,100,100,100,100,100,100,-76,-85,100,100,-81,100,100,100,100,100,100,100,-60,-77,,
26,2022-07-23-14:26:16,-80,-76,100,100,-75,-58,100,100,100,100,100,100,-81,100,100,100,-91,100,100,100,100,100,100,100,-61,-70,,
27,2022-07-23-14:26:21,-87,-74,100,100,-88,-64,100,100,100,100,100,100,-76,-85,-91,100,-80,100,100,100,100,100,100,100,-60,-77,,
28,2022-07-23-14:26:26,-88,-74,100,100,-88,-64,100,100,100,100,100,100,-77,-86,100,100,-80,100,100,100,100,100,100,100,-60,-77,,
