index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-83.46
0,2022-07-23-14:38:45,-81,-73,100,100,-84,-62,100,100,-93,100,100,100,-86,-82,-95,100,-76,-96,100,100,100,100,100,100,-68,-64,,
1,2022-07-23-14:38:50,-89,-74,100,100,-81,-55,100,100,100,100,100,100,-89,-89,100,100,-80,100,100,100,100,100,100,100,-75,-68,,
2,2022-07-23-14:38:55,-84,-74,100,100,-82,-65,100,100,100,100,100,100,-87,-80,100,100,-77,100,100,100,100,100,100,100,-70,-64,,
3,2022-07-23-14:39:00,-83,-78,100,100,-80,-66,100,100,100,100,100,100,-85,-90,-96,100,-75,-94,100,100,100,100,100,100,-80,-69,,
4,2022-07-23-14:39:05,-88,-73,100,100,-80,-56,100,100,100,100,100,100,-82,-89,100,100,-84,100,100,100,100,100,100,100,-74,-69,,
5,2022-07-23-14:39:10,-83,100,100,100,100,-70,100,100,100,100,100,100,100,-88,100,100,-76,100,100,100,100,100,100,100,-80,-80,,
6,2022-07-23-14:39:15,-87,-73,100,100,-80,-56,100,100,100,100,100,100,-87,-89,100,100,-80,100,100,100,100,100,100,100,-73,-69,,
7,2022-07-23-14:39:20,-82,-74,100,100,-83,-67,100,100,100,100,100,100,-90,-81,100,100,-76,100,100,100,100,100,100,100,-68,-65,,
8,2022-07-23-14:39:25,-83,-78,100,100,-86,-69,100,100,100,100,100,100,-86,-88,-97,100,-76,100,100,100,100,100,100,100,-80,-80,,
9,2022-07-23-14:39:30,-81,-74,100,100,100,-68,100,100,100,100,100,100,-89,-81,100,100,-76,100,100,100,100,100,100,100,-68,-64,,
10,2022-07-23-14:39:35,-83,-78,100,100,-86,-69,100,100,100,100,100,100,-89,-88,-96,100,-76,100,100,100,100,100,100,100,-80,-80,,
11,2022-07-23-14:39:40,-88,-74,100,100,-80,-56,100,100,100,100,100,100,-87,-89,-96,100,-79,100,100,100,100,100,100,100,-74,-69,,
12,2022-07-23-14:39:45,-82,-73,100,100,-83,-68,100,100,100,100,100,100,-89,-80,100,100,-76,100,100,100,100,100,100,100,-68,-64,,
13,2022-07-23-14:39:50,-87,100,100,100,100,-56,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,-68,,
14,2022-07-23-14:39:55,-82,-74,100,100,-83,-68,100,100,100,100,100,100,-89,-80,100,100,-76,-95,100,100,100,100,100,100,-68,-64,,
15,2022-07-23-14:40:00,-83,-78,100,100,-87,-69,100,100,100,100,100,100,-89,-87,-94,100,-77,100,100,100,100,100,100,100,-80,-78,,
16,2022-07-23-14:40:05,-87,-73,100,100,-80,-56,100,100,100,100,100,100,100,-88,-94,100,-79,100,100,100,100,100,100,100,-73,-69,,
17,2022-07-23-14:40:10,-83,-78,100,100,-80,100,100,100,100,100,100,100,-87,100,100,100,-76,100,100,100,100,100,100,100,-80,-69,,
18,2022-07-23-14:40:15,-83,-73,100,100,-86,-56,100,100,100,100,100,100,-87,-89,-96,100,-79,100,100,100,100,100,100,100,-73,-69,,
19,2022-07-23-14:40:20,-82,-74,100,100,-82,-68,100,100,100,100,100,100,-88,-81,100,100,-76,-93,100,100,100,100,100,100,-69,-64,,
20,2022-07-23-14:40:25,-83,-78,100,100,-83,-69,100,100,100,100,100,100,-86,-88,100,100,-76,100,100,100,100,100,100,100,-80,-80,,
21,2022-07-23-14:40:30,100,100,100,100,100,-69,100,100,100,100,100,100,-86,100,100,100,-77,100,100,100,100,100,100,100,100,-80,,
22,2022-07-23-14:40:35,-81,-78,100,100,100,-69,100,100,100,100,100,100,-88,-88,100,100,-76,-95,100,100,100,100,100,100,-80,-80,,
23,2022-07-23-14:40:40,-87,-78,100,100,-80,-56,100,100,100,100,100,100,-86,-89,100,100,-77,100,100,100,100,100,100,100,-73,-69,,
24,2022-07-23-14:40:45,-81,-73,100,100,-83,-67,100,100,100,100,100,100,-89,-81,-100,100,-76,100,100,100,100,100,100,100,-68,-64,,
25,2022-07-23-14:40:50,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,-76,-96,100,100,100,100,100,100,-68,100,,
26,2022-07-23-14:40:55,-82,-73,100,100,-80,-68,100,100,100,100,100,100,-87,-89,100,100,-76,100,100,100,100,100,100,100,100,-69,,
27,2022-07-23-14:41:00,-83,-79,100,100,-87,-68,100,100,100,100,100,100,-89,-89,-96,100,-76,-97,100,100,100,100,100,100,-80,-80,,
28,2022-07-23-14:41:05,-88,-74,100,100,-81,-56,100,100,100,100,100,100,-87,-89,-96,100,-76,100,100,100,100,100,100,100,-73,-69,,
29,2022-07-23-14:41:10,-88,-73,100,100,-80,-56,100,100,100,100,100,100,100,-89,100,100,-79,-94,100,100,100,100,100,100,-73,-68,,
30,2022-07-23-14:41:15,-84,-78,100,100,-86,-69,100,100,100,100,100,100,-86,-89,100,100,-76,100,100,100,100,100,100,100,-80,-80,,
31,2022-07-23-14:41:20,-88,-74,100,100,-83,-56,100,100,100,100,100,100,-87,-88,-99,100,-79,100,100,100,100,100,100,100,-68,-64,,
32,2022-07-23-14:41:25,-83,-78,100,100,-86,-69,100,100,100,100,100,100,-86,-88,-97,100,-76,100,100,100,100,100,100,100,-68,-78,,
33,2022-07-23-14:41:30,-83,-78,100,100,100,100,100,100,100,100,100,100,-87,-89,100,100,-76,100,100,100,100,100,100,100,-80,-80,,
34,2022-07-23-14:41:35,-81,-73,100,100,-83,-68,100,100,100,100,100,100,-88,-80,-97,100,-77,100,100,100,100,100,100,100,-68,-65,,
35,2022-07-23-14:41:40,-83,-78,100,100,-80,-69,100,100,100,100,100,100,-86,-88,-96,100,-76,100,100,100,100,100,100,100,-80,-68,,
