index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-83
0,2022-07-23-15:02:37,-81,-80,100,100,-96,-73,100,100,-98,100,100,100,-88,-80,-96,100,-72,-94,100,100,100,-85,100,100,-90,-70,,
1,2022-07-23-15:02:42,-81,-74,100,100,-82,-56,100,100,-96,100,100,100,-80,-81,100,100,-68,100,100,100,100,100,100,100,-75,-58,,
2,2022-07-23-15:02:47,-83,-78,100,100,-85,-58,100,100,-96,100,100,100,-77,-78,-94,100,-72,100,100,100,100,-86,100,100,-76,-58,,
3,2022-07-23-15:02:52,-88,100,100,100,100,-63,100,100,100,100,100,100,-87,-80,100,100,-72,100,100,100,100,100,100,100,-83,-76,,
4,2022-07-23-15:02:57,-83,100,100,100,100,-58,100,100,100,100,100,100,-78,-80,100,100,-73,100,100,100,100,100,100,100,-76,-58,,
5,2022-07-23-15:03:02,-88,-79,100,100,100,-63,100,100,-95,100,100,100,-88,-80,100,100,-71,100,100,100,100,100,100,100,-76,-76,,
6,2022-07-23-15:03:07,-83,-75,100,100,-82,-56,100,100,100,100,100,100,-80,-77,-98,100,-69,100,100,100,100,-85,100,100,-76,-58,,
7,2022-07-23-15:03:12,-83,-80,100,100,-85,-58,100,100,100,100,100,100,-78,-80,100,100,-73,-94,100,100,100,100,100,100,-76,-58,,
8,2022-07-23-15:03:17,100,100,100,100,-82,-56,100,100,100,100,100,100,-80,-77,100,100,100,100,100,100,100,100,100,100,-77,-57,,
9,2022-07-23-15:03:22,-82,-80,100,100,-82,-58,100,100,100,100,100,100,-80,-77,100,100,-73,100,100,100,100,100,100,100,-76,-58,,
10,2022-07-23-15:03:27,-88,-78,100,100,-96,-63,100,100,100,100,100,100,-88,-80,-100,100,-71,100,100,100,100,100,100,100,-83,-77,,
11,2022-07-23-15:03:32,-82,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-77,-97,100,-68,100,100,100,100,-85,100,100,-76,-58,,
12,2022-07-23-15:03:37,100,-78,100,100,100,100,100,100,100,100,100,100,-88,-80,100,100,100,100,100,100,100,100,100,100,-83,100,,
13,2022-07-23-15:03:42,-87,-74,100,100,-100,-56,100,100,-95,100,100,100,-80,-78,-96,100,-68,100,100,100,100,-85,100,100,-77,-58,,
14,2022-07-23-15:03:47,-83,-80,100,100,-86,-58,100,100,100,100,100,100,-77,-80,100,100,-73,100,100,100,100,-85,100,100,-76,-58,,
15,2022-07-23-15:03:52,-87,-79,100,100,-98,-63,100,100,100,100,100,100,-88,-81,-98,100,-71,100,100,100,100,100,100,100,-83,-76,,
16,2022-07-23-15:03:57,100,-78,100,100,-86,100,100,100,100,100,100,100,100,-80,100,100,-72,100,100,100,100,100,100,100,-83,-59,,
17,2022-07-23-15:04:02,-87,-78,100,100,-86,-63,100,100,-95,100,100,100,-87,-80,100,100,-71,100,100,100,100,100,100,100,-76,-76,,
18,2022-07-23-15:04:07,-88,-75,100,100,-82,-56,100,100,100,100,100,100,-80,-77,100,100,-68,100,100,100,100,-85,100,100,-76,-58,,
19,2022-07-23-15:04:12,-83,-78,100,100,-86,-58,100,100,100,100,100,100,-77,-79,-95,100,-73,100,100,100,100,-85,100,100,-76,-58,,
20,2022-07-23-15:04:17,100,100,100,100,100,-58,100,100,100,100,100,100,-78,100,100,100,-73,100,100,100,100,100,100,100,100,-58,,
21,2022-07-23-15:04:22,-83,-74,100,100,-86,-58,100,100,100,100,100,100,-77,-77,100,100,-73,100,100,100,100,-86,100,100,-76,-58,,
22,2022-07-23-15:04:27,-89,-78,100,100,100,-63,100,100,100,100,100,100,-87,-78,100,100,-72,100,100,100,100,100,100,100,-76,-58,,
23,2022-07-23-15:04:32,-83,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-77,-98,100,-68,100,100,100,100,100,100,100,-76,-58,,
24,2022-07-23-15:04:37,-83,-74,100,100,100,-56,100,100,-96,100,100,100,-80,-78,100,100,-68,100,100,100,100,-85,100,100,-76,-58,,
25,2022-07-23-15:04:42,-88,-80,100,100,-82,-63,100,100,100,100,100,100,-80,-80,-98,100,-71,100,100,100,100,100,100,100,-83,-76,,
26,2022-07-23-15:04:47,-83,-79,100,100,-86,-58,100,100,100,100,100,100,-77,-79,-95,100,-72,100,100,100,100,-86,100,100,-76,-58,,
27,2022-07-23-15:04:52,-88,-78,100,100,-86,-63,100,100,100,100,100,100,-79,-81,100,100,-71,-95,100,100,100,100,100,100,-83,-76,,
28,2022-07-23-15:04:57,100,-78,100,100,100,-63,100,100,100,100,100,100,-87,-80,100,100,-71,100,100,100,100,100,100,100,-83,-77,,
29,2022-07-23-15:05:02,100,-80,100,100,-86,-58,100,100,100,100,100,100,-77,-79,-94,100,-73,-95,100,100,100,100,100,100,-76,-58,,
30,2022-07-23-15:05:07,-78,-75,100,100,-96,-67,100,100,100,100,100,100,-88,-78,-96,100,-70,-96,100,100,100,100,100,100,-87,-77,,
31,2022-07-23-15:05:12,-83,-78,100,100,100,-57,100,100,100,100,100,100,-80,-78,-96,100,-68,100,100,100,100,100,100,100,-80,-58,,
32,2022-07-23-15:05:17,-83,-81,100,100,-89,-58,100,100,100,100,100,100,-78,-80,-94,100,-73,-98,100,100,100,100,100,100,-78,-58,,
33,2022-07-23-15:05:22,100,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-77,100,100,-68,100,100,100,100,100,100,100,-76,-58,,
34,2022-07-23-15:05:27,-83,-78,100,100,-82,-58,100,100,-96,100,100,100,-78,-79,100,100,-72,100,100,100,100,-85,100,100,-83,-58,,
35,2022-07-23-15:05:32,-83,-78,100,100,100,-56,100,100,100,100,100,100,-87,-78,-98,100,-68,100,100,100,100,100,100,100,-77,-58,,
36,2022-07-23-15:05:37,-82,100,100,100,-82,-56,100,100,-95,100,100,100,-80,-78,100,100,-68,100,100,100,100,-85,100,100,-76,-58,,
37,2022-07-23-15:05:42,-88,-78,100,100,100,-63,100,100,100,100,100,100,-88,-80,100,100,-71,100,100,100,100,100,100,100,100,-76,,
38,2022-07-23-15:05:47,100,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-78,-98,100,-68,100,100,100,100,100,100,100,-77,-58,,
39,2022-07-23-15:05:52,100,-78,100,100,-85,-63,100,100,-95,100,100,100,-88,-80,-95,100,-71,100,100,100,100,100,100,100,-76,-76,,
40,2022-07-23-15:05:57,-87,-78,100,100,-100,-63,100,100,100,100,100,100,-88,-80,-100,100,-72,100,100,100,100,100,100,100,-83,-76,,
41,2022-07-23-15:06:02,-83,-79,100,100,100,-58,100,100,100,100,100,100,-78,100,-95,100,-73,100,100,100,100,100,100,100,-76,-58,,
42,2022-07-23-15:06:07,100,-78,100,100,-85,-63,100,100,100,100,100,100,-87,-81,-97,100,-71,-94,100,100,100,100,100,100,-83,-58,,
43,2022-07-23-15:06:12,100,-74,100,100,-82,-56,100,100,-96,100,100,100,-80,-79,100,100,-68,100,100,100,100,100,100,100,-77,-58,,
44,2022-07-23-15:06:17,-83,-79,100,100,-86,-58,100,100,-96,100,100,100,-77,-78,100,100,-73,-95,100,100,100,100,100,100,-76,-58,,
45,2022-07-23-15:06:22,-82,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-78,100,100,-68,100,100,100,100,-85,100,100,-76,-58,,
46,2022-07-23-15:06:27,-83,-74,100,100,-85,-58,100,100,-96,100,100,100,-78,-79,100,100,-72,-95,100,100,100,100,100,100,-76,-58,,
47,2022-07-23-15:06:32,-88,-78,100,100,100,-63,100,100,100,100,100,100,-87,-81,-99,100,-71,100,100,100,100,100,100,100,-83,-76,,
48,2022-07-23-15:06:37,-83,-74,100,100,-82,-56,100,100,100,100,100,100,-80,-77,100,100,-68,100,100,100,100,-86,100,100,-76,-58,,
49,2022-07-23-15:06:42,-88,-79,100,100,100,-63,100,100,100,100,100,100,-88,100,100,100,-71,100,100,100,100,100,100,100,-83,-76,,
50,2022-07-23-15:06:47,-82,-74,100,100,-97,-56,100,100,100,100,100,100,-80,-77,-97,100,-68,100,100,100,100,100,100,100,-76,-58,,
51,2022-07-23-15:06:52,-83,-79,100,100,-86,-58,100,100,100,100,100,100,-78,-79,100,100,-74,-95,100,100,100,100,100,100,-76,-58,,
52,2022-07-23-15:06:57,-88,-79,100,100,-90,-63,100,100,-96,100,100,100,-87,100,-96,100,-71,100,100,100,100,100,100,100,-83,-75,,
53,2022-07-23-15:07:02,-82,-80,100,100,-83,-58,100,100,100,100,100,100,-77,-78,100,100,-74,100,100,100,100,100,100,100,100,-58,,
