index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-19-19:27:34,100,100,-93,-90,-83,100,-91,-93,-100,-92,-91,-80,100,100,-91,-70,100,-76,-80,-92,-86,100,-62,-91,100,100
1,2022-07-19-19:27:39,100,100,100,-90,-81,100,-87,100,100,-91,-88,-77,100,100,-89,-69,100,-88,-87,-83,-90,100,-50,-92,100,100
2,2022-07-19-19:27:44,100,100,-96,-92,-78,100,-86,100,-98,-96,-87,-74,100,100,-84,-69,100,-73,-82,-87,-86,100,-57,-91,100,100
3,2022-07-19-19:27:49,100,100,100,-82,-94,100,-94,100,100,-88,100,-71,100,100,-85,-72,100,-85,-88,-85,100,100,-57,100,100,100
4,2022-07-19-19:27:54,100,100,100,-92,-78,100,-87,-93,100,-90,-88,-74,100,100,-88,-70,100,-73,-82,-91,-87,100,-54,-90,100,100
5,2022-07-19-19:27:59,100,100,100,-91,-82,100,-88,100,100,-87,100,-74,100,100,-88,-74,100,-75,-80,-78,-86,100,-55,100,100,100
6,2022-07-19-19:28:04,100,100,100,-82,-93,100,-93,100,100,-94,100,-71,100,100,-85,-72,100,-84,-87,-84,100,100,-57,100,100,100
7,2022-07-19-19:28:09,100,100,100,-90,-81,100,-87,100,100,100,100,-75,100,100,-89,-74,100,-75,-80,-79,-85,100,-55,-88,100,100
8,2022-07-19-19:28:14,100,100,100,-82,-95,100,-93,100,100,-93,100,-71,100,100,-84,-72,100,-84,-87,-85,-84,100,-57,100,100,100
9,2022-07-19-19:28:19,100,100,-95,-96,-80,100,-86,100,100,-91,-86,-74,100,100,-90,-70,100,-74,-82,-89,-86,100,-53,-92,100,100
10,2022-07-19-19:28:24,100,100,100,-89,-81,100,-86,100,-98,-92,100,-75,100,100,-88,-73,100,-75,-80,-78,-85,100,-55,-86,100,100
11,2022-07-19-19:28:29,100,100,100,-94,-80,100,100,100,100,-93,100,-74,100,100,100,-70,100,-74,-81,-89,100,100,-53,100,100,100
12,2022-07-19-19:28:34,100,100,100,-91,-81,100,-86,100,100,-93,-86,-74,100,100,-90,-74,100,-75,-80,-78,-85,100,-55,-87,100,100
13,2022-07-19-19:28:39,100,100,100,-82,-96,100,-92,-95,100,-92,100,-72,100,100,-84,-72,100,-84,-87,-85,-84,100,-57,100,100,100
14,2022-07-19-19:28:44,100,100,-97,100,-80,100,-87,100,100,100,-86,-74,100,100,-90,-69,100,-73,-82,-88,-87,100,-53,-91,100,100
15,2022-07-19-19:28:49,100,100,100,100,-94,100,100,100,100,100,100,100,100,100,-84,100,100,100,-87,100,100,100,-57,100,100,100
16,2022-07-19-19:28:54,100,100,100,-82,-80,100,-86,-96,100,-91,-87,-74,100,100,-85,-70,100,-74,-87,-88,-86,100,-53,-92,100,100
17,2022-07-19-19:28:59,100,100,100,-90,-80,100,-86,-94,100,-92,-86,-75,100,100,-89,-74,100,-75,-80,-79,-84,100,-55,-87,100,100
18,2022-07-19-19:29:04,100,100,100,-82,-94,100,-92,100,100,-93,100,-72,100,100,-84,-72,100,-84,-86,-85,100,100,-57,100,100,100
19,2022-07-19-19:29:09,100,100,100,-82,100,100,100,100,100,100,100,-71,100,100,-87,100,100,-84,-80,-78,100,100,-57,100,100,100
20,2022-07-19-19:29:14,100,100,100,-90,-94,100,-86,100,100,100,100,-72,100,100,-84,-72,100,-85,-87,-86,-85,100,-57,100,100,100
21,2022-07-19-19:29:19,100,100,100,-82,-80,100,-87,-93,100,-88,-87,-72,100,100,-90,-70,100,-74,-81,-84,-89,100,-53,-90,100,100
22,2022-07-19-19:29:24,100,100,-96,-90,-82,100,-86,-93,100,-88,-87,-75,100,100,-91,-74,100,-74,-80,-78,-84,100,-55,-92,100,100
23,2022-07-19-19:29:29,100,100,100,-89,-84,100,-86,100,100,100,100,-75,100,100,100,100,100,-76,-80,-79,-87,100,-55,100,100,100
24,2022-07-19-19:29:34,100,100,-97,100,-80,100,-86,100,100,-91,-86,-74,100,100,-88,-70,100,-75,-80,-78,-86,100,-55,-86,100,100
25,2022-07-19-19:29:39,100,100,100,-82,-93,100,-91,100,-98,-93,100,-72,100,100,-84,-72,100,-84,-87,-86,-84,100,-57,100,100,100
26,2022-07-19-19:29:44,100,100,100,-82,-79,100,-87,-93,100,-92,-86,-73,100,100,-90,-70,100,-74,-82,-89,-87,100,-53,-90,100,100
27,2022-07-19-19:29:49,100,100,100,100,-80,100,-86,-94,100,-92,100,100,100,100,100,100,100,100,-81,100,-86,100,-53,100,100,100
28,2022-07-19-19:29:54,100,100,100,-82,100,100,-85,-95,100,-92,100,-71,100,100,-84,-72,100,-84,-82,-85,100,100,-57,-92,100,100
29,2022-07-19-19:29:59,100,100,100,-89,-80,100,-87,100,100,-91,-85,-74,100,100,-87,-74,100,-74,-80,-78,-85,100,-53,100,100,100
30,2022-07-19-19:30:04,100,100,100,-82,-94,100,-91,100,100,-93,100,-71,100,100,-84,-72,100,-85,-87,-85,-85,100,-57,-87,100,100
31,2022-07-19-19:30:09,100,100,100,-82,-94,100,100,100,100,-93,100,-72,100,100,-85,-73,100,-84,-87,-85,100,100,-57,100,100,100
32,2022-07-19-19:30:14,100,100,100,-89,-81,100,-87,-94,100,-92,100,-75,100,100,-88,-74,100,-75,-80,-78,-85,100,-55,-87,100,100
33,2022-07-19-19:30:19,100,100,-96,-82,-94,100,-86,100,100,-92,-86,-74,100,100,-84,-70,100,-83,-87,-86,100,100,-53,100,100,100
34,2022-07-19-19:30:24,100,-97,100,-90,-81,100,-86,-96,100,-91,-86,-75,100,100,-91,-74,100,-76,-80,-78,-85,100,-55,-86,100,100
35,2022-07-19-19:30:29,100,100,100,-90,-81,100,-86,100,100,100,100,-74,100,100,-88,-74,100,-74,-80,-78,-84,100,-55,-86,100,100
36,2022-07-19-19:30:34,100,100,-96,-94,-80,100,-86,-94,100,-91,-85,-74,100,100,-91,-70,100,-74,-81,100,-87,100,-53,-92,100,100
37,2022-07-19-19:30:39,100,100,100,-89,-82,100,-86,100,100,-92,-86,-75,100,100,-88,-73,100,-85,-80,-78,-84,100,-55,-87,100,100
38,2022-07-19-19:30:44,100,100,-97,-82,-79,100,-84,100,100,-92,-85,-74,100,100,-91,-70,100,-74,-88,-88,100,100,-54,100,100,100
39,2022-07-19-19:30:49,100,100,100,100,-80,100,100,-88,100,-91,-86,-74,100,100,-91,-70,100,-73,-82,100,-87,100,-53,100,100,100
40,2022-07-19-19:30:54,100,100,100,-82,-95,100,-92,100,100,-93,100,-71,100,100,-84,-72,100,-84,-87,-85,100,100,-57,100,100,100
41,2022-07-19-19:30:59,100,100,100,-82,-80,100,-86,100,100,-91,100,-74,100,100,-91,-69,100,-73,-82,-89,-87,100,-53,-92,100,100
42,2022-07-19-19:31:04,100,100,100,-82,-81,100,-86,-95,100,-92,100,-74,100,100,-84,-74,100,-84,-87,-86,-85,100,-57,-87,100,100
43,2022-07-19-19:31:09,100,100,100,-82,100,100,-92,100,100,-92,100,-71,100,100,-84,-72,100,-84,-88,-85,100,100,-57,100,100,100
44,2022-07-19-19:31:14,100,100,100,-89,-82,100,-86,100,100,-93,100,-74,100,100,-88,-74,100,-75,-80,-79,-86,100,-55,-86,100,100
45,2022-07-19-19:31:19,100,100,100,-83,-82,100,-92,100,100,-93,100,-71,100,100,-84,-73,100,-84,-87,-85,100,100,-57,-86,100,100
46,2022-07-19-19:31:24,100,100,100,100,-81,100,-86,-94,100,-93,-86,-74,100,100,-91,-70,100,-75,-81,-88,-86,100,-55,-91,100,100
47,2022-07-19-19:31:29,100,100,100,-90,-82,100,-87,100,100,-92,100,-74,100,100,-88,-74,100,-75,-80,-78,-85,100,-55,-87,100,100
48,2022-07-19-19:31:34,100,100,-96,100,-80,100,-87,100,100,-91,-86,-74,100,100,-90,-70,100,-74,-82,-88,-86,100,-53,100,100,100
49,2022-07-19-19:31:39,100,100,100,-89,-81,100,-87,100,-97,-94,-86,-75,100,100,-88,-74,100,-75,-80,-78,-84,100,-55,-87,100,100
50,2022-07-19-19:31:44,100,100,100,-82,-95,100,-92,100,100,-92,100,-71,100,100,-84,-72,100,-83,-87,-85,-85,100,-57,100,100,100
51,2022-07-19-19:31:49,100,100,-96,-93,-80,100,-86,100,100,-91,-86,-74,100,100,-91,-70,100,-73,-82,-89,-86,100,-53,-92,100,100
52,2022-07-19-19:31:54,100,100,100,-82,-93,100,-91,100,100,-93,100,-71,100,100,-85,-72,100,-84,-87,-85,100,100,-57,100,100,100
53,2022-07-19-19:31:59,100,100,100,-82,-80,100,-86,100,100,-91,-86,-74,100,100,-92,-72,100,-74,-82,-90,-86,100,-53,100,100,100
54,2022-07-19-19:32:04,100,100,100,-90,-81,100,-86,-94,100,-94,100,-74,100,100,-87,-74,100,-75,-80,-78,-84,100,-55,-86,100,100
55,2022-07-19-19:32:09,100,100,100,-82,-95,100,-92,100,100,-92,100,-71,100,100,-84,-72,100,-84,-87,-85,100,100,-57,100,100,100
56,2022-07-19-19:32:14,100,100,100,-90,-81,100,-87,-94,100,-92,100,-74,100,100,100,-74,100,100,100,-78,-85,100,-55,100,100,100
57,2022-07-19-19:32:19,100,100,100,-82,-81,100,-93,-94,100,-92,100,-71,100,100,-84,-73,100,-84,-87,-85,100,100,-57,-86,100,100
58,2022-07-19-19:32:24,100,100,100,-82,-79,100,-87,100,100,-92,-86,-74,100,100,-90,-70,100,-74,-82,-85,-86,100,-53,-92,100,100
59,2022-07-19-19:32:29,100,100,100,-90,-81,100,-86,100,100,-93,-86,-75,100,100,-88,-74,100,-75,-80,-78,-85,100,-55,-87,100,100
