index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-79.42
0,2022-07-23-17:24:56,-75,-86,100,100,-94,-89,100,100,100,100,100,-55,-77,-94,100,-99,100,100,100,100,-98,100,100,-95,-80,,
1,2022-07-23-17:25:01,-79,-84,100,100,100,-87,100,100,100,100,100,-68,100,100,100,-78,100,100,100,100,100,100,100,-90,-77,,
2,2022-07-23-17:25:06,-80,-73,100,100,-83,-85,100,100,100,100,100,-67,-57,100,100,-77,100,100,100,100,100,100,100,-91,-84,,
3,2022-07-23-17:25:11,-77,-79,100,100,-89,-86,100,100,100,100,100,-67,-60,100,100,-77,100,100,100,100,100,100,100,-85,-80,,
4,2022-07-23-17:25:16,-88,-73,100,100,-89,-86,100,100,100,100,100,-65,-59,100,100,-78,100,100,100,100,100,100,100,-92,-84,,
5,2022-07-23-17:25:21,-88,-72,100,100,100,-86,100,100,100,100,100,-66,-58,100,100,-78,100,100,100,100,100,100,100,-85,-77,,
6,2022-07-23-17:25:26,-80,-84,100,100,-88,100,100,100,100,100,100,-71,-57,100,100,-73,100,100,100,100,100,100,100,-92,-80,,
7,2022-07-23-17:25:31,-80,-80,100,100,-82,-87,100,100,100,100,100,-65,-59,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
8,2022-07-23-17:25:36,-80,-84,100,100,100,-86,100,100,100,100,100,-71,-56,100,100,-78,100,100,100,100,100,100,100,100,-83,,
9,2022-07-23-17:25:41,-80,-79,100,100,-85,-86,100,100,100,100,100,-65,-59,100,100,-80,100,100,100,100,100,100,100,-92,-84,,
10,2022-07-23-17:25:46,-80,-84,100,100,-85,-87,100,100,100,100,100,-71,-59,100,100,-80,100,100,100,100,100,100,100,-86,-82,,
11,2022-07-23-17:25:51,-75,-73,100,100,-85,-87,100,100,100,100,100,-65,-64,100,100,-78,100,100,100,100,100,100,100,-92,-84,,
12,2022-07-23-17:25:56,-85,-79,100,100,-85,-87,100,100,100,100,100,-71,-59,100,100,-78,100,100,100,100,100,100,100,-85,-82,,
13,2022-07-23-17:26:01,-85,-84,100,100,-85,-86,100,100,100,100,100,-71,-56,100,100,-78,100,100,100,100,100,100,100,-85,-82,,
14,2022-07-23-17:26:06,-85,-84,100,100,100,-87,100,100,100,100,100,-65,-56,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
15,2022-07-23-17:26:11,-75,-73,100,100,-85,-87,100,100,100,100,100,-66,-64,100,100,-80,100,100,100,100,100,100,100,-85,-82,,
16,2022-07-23-17:26:16,-75,-79,100,100,-88,-86,100,100,100,100,100,-71,-59,100,100,-78,100,100,100,100,100,100,100,-92,-77,,
17,2022-07-23-17:26:21,-75,-79,100,100,-85,-88,100,100,100,100,100,-65,-59,100,100,-80,100,100,100,100,100,100,100,-86,-77,,
18,2022-07-23-17:26:26,-80,-73,100,100,-85,-87,100,100,100,100,100,-69,-56,100,100,-80,100,100,100,100,100,100,100,-92,-81,,
19,2022-07-23-17:26:31,-85,-79,100,100,-85,100,100,100,100,100,100,-66,-59,100,100,-78,100,100,100,100,100,100,100,-92,-77,,
20,2022-07-23-17:26:36,-75,-73,100,100,100,-87,100,100,100,100,100,-69,-56,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
21,2022-07-23-17:26:41,-80,-82,100,100,-88,-87,100,100,100,100,100,-71,-64,100,100,-78,100,100,100,100,100,100,100,-92,-84,,
22,2022-07-23-17:26:46,-75,-83,100,100,-88,-86,100,100,100,100,100,-65,-64,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
23,2022-07-23-17:26:51,-80,-84,100,100,-85,-86,100,100,100,100,100,-71,-56,100,100,-81,100,100,100,100,100,100,100,-85,-82,,
24,2022-07-23-17:26:56,-75,-79,100,100,-85,-88,100,100,100,100,100,-72,-56,100,100,-80,100,100,100,100,100,100,100,-86,-82,,
25,2022-07-23-17:27:01,-85,-79,100,100,-88,-86,100,100,100,100,100,-71,-64,100,100,-80,100,100,100,100,100,100,100,-86,-84,,
26,2022-07-23-17:27:06,-80,-79,100,100,-85,-86,100,100,100,100,100,-69,-57,100,100,-80,100,100,100,100,100,100,100,-86,-84,,
27,2022-07-23-17:27:11,-74,-79,100,100,-85,100,100,100,100,100,100,-69,-59,100,100,-81,100,100,100,100,100,100,100,-86,100,,
28,2022-07-23-17:27:16,-74,-83,100,100,-85,-86,100,100,100,100,100,-69,-64,100,100,-78,100,100,100,100,100,100,100,-85,-84,,
29,2022-07-23-17:27:21,-85,-73,100,100,-85,-87,100,100,100,100,100,-65,-59,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
30,2022-07-23-17:27:26,-85,-73,100,100,-85,-87,100,100,100,100,100,-71,-64,100,100,-78,100,100,100,100,100,100,100,-86,-77,,
31,2022-07-23-17:27:31,-80,-84,100,100,-88,-86,100,100,100,100,100,-71,-59,100,100,-78,100,100,100,100,100,100,100,-86,-84,,
32,2022-07-23-17:27:36,-75,-73,100,100,-85,-87,100,100,100,100,100,-65,-57,100,100,-78,100,100,100,100,100,100,100,-86,-82,,
33,2022-07-23-17:27:41,-80,-73,100,100,-85,-87,100,100,100,100,100,-69,-57,100,100,-81,100,100,100,100,100,100,100,-86,-84,,
34,2022-07-23-17:27:46,-75,-84,100,100,-85,-87,100,100,100,100,100,-69,-59,100,100,-78,100,100,100,100,100,100,100,-92,-77,,
35,2022-07-23-17:27:51,-75,-81,100,100,-84,-86,100,100,100,100,100,-69,-64,100,100,-78,100,100,100,100,100,100,100,-91,-84,,
36,2022-07-23-17:27:56,-75,-83,100,100,-88,-88,100,100,100,100,100,-65,-64,100,100,-78,100,100,100,100,100,100,100,-86,-84,,
37,2022-07-23-17:28:01,-74,-73,100,100,-85,-86,100,100,100,100,100,-64,-57,100,100,-81,100,100,100,100,100,100,100,100,-82,,
38,2022-07-23-17:28:06,-84,-73,100,100,100,-87,100,100,100,100,100,-69,-59,100,100,-77,100,100,100,100,100,100,100,-92,-77,,
39,2022-07-23-17:28:11,-85,-83,100,100,-85,-86,100,100,100,100,100,-65,-59,100,100,-78,100,100,100,100,100,100,100,-86,-82,,
40,2022-07-23-17:28:16,-75,-84,100,100,-84,-87,100,100,100,100,100,-69,-57,100,100,-78,100,100,100,100,100,100,100,-85,-82,,
41,2022-07-23-17:28:21,-74,-73,100,100,-85,-88,100,100,100,100,100,-65,-64,100,100,100,100,100,100,100,100,100,100,-92,-84,,
42,2022-07-23-17:28:26,-79,-78,100,100,-88,100,100,100,100,100,100,-71,-57,100,100,-81,100,100,100,100,100,100,100,-92,-82,,
43,2022-07-23-17:28:31,-85,-79,100,100,-88,-87,100,100,100,100,100,-69,-59,100,100,-81,100,100,100,100,100,100,100,-86,-84,,
44,2022-07-23-17:28:36,-74,-73,100,100,-85,-86,100,100,100,100,100,-69,-64,100,100,-80,100,100,100,100,100,100,100,-91,-82,,
45,2022-07-23-17:28:41,-80,-73,100,100,-85,-86,100,100,100,100,100,-71,100,100,100,-78,100,100,100,100,100,100,100,-85,-84,,
