index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-60.7,-60.7
0,2022-07-24-11:32:31,-58,-90,100,100,-91,-81,100,100,100,100,100,-75,-88,100,100,-98,100,100,100,100,100,100,100,-94,-82,,,
1,2022-07-24-11:32:36,-69,-99,100,100,100,100,100,100,100,100,100,-75,-83,100,100,-87,100,100,100,100,100,100,100,100,-85,,,
2,2022-07-24-11:32:41,-56,-85,100,100,-90,-81,100,100,100,100,100,-80,-66,100,100,-86,100,100,100,100,100,100,100,100,-82,,,
3,2022-07-24-11:32:46,-57,-88,100,100,100,-80,100,100,100,100,100,-77,-68,-99,100,-94,100,100,100,100,100,100,100,-91,-71,,,
4,2022-07-24-11:32:51,-69,-87,100,100,100,-80,100,100,100,100,100,100,-68,100,100,-84,100,100,100,100,100,100,100,-93,-73,,,
5,2022-07-24-11:32:56,-59,-90,100,100,100,-81,100,100,100,100,100,-78,-67,100,100,-89,100,100,100,100,100,100,100,-91,-75,,,
6,2022-07-24-11:33:01,-59,-91,100,100,100,-84,100,100,100,100,100,-71,-67,100,100,-83,100,100,100,100,100,100,100,100,-71,,,
7,2022-07-24-11:33:06,-58,-86,100,100,100,-80,100,100,100,100,100,-71,-67,100,100,-81,100,100,100,100,100,100,100,-90,-83,,,
8,2022-07-24-11:33:11,-58,-86,100,100,100,-79,100,100,100,100,100,-73,-67,100,100,-82,100,100,100,100,100,100,100,-90,-71,,,
9,2022-07-24-11:33:16,-57,-86,100,100,100,-79,100,100,100,100,100,-79,-67,100,100,-81,100,100,100,100,100,100,100,-90,-84,,,
