index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-13:34:22,-86,-68,-97,-72,-72,-81,-88,-93,-77,-96,-89,-99,-82,-93,-82,-85,-78,-86,-97,-90,-97,100,-90,-55,-85,-84
1,2022-07-22-13:34:27,100,-66,-88,100,-69,-85,-86,100,-75,100,100,100,-91,-82,-82,100,-84,-89,-78,100,100,100,100,100,-89,-87
2,2022-07-22-13:34:32,-89,-62,-87,100,-67,100,-82,-92,-82,100,100,100,-98,-87,-75,100,-89,-71,-81,100,100,100,100,100,-82,-92
3,2022-07-22-13:34:37,-89,-63,-82,100,-63,100,-87,-98,-76,100,100,100,-97,-85,-75,100,100,-94,-74,100,100,100,100,100,-85,-76
4,2022-07-22-13:34:42,-88,-68,-87,100,-64,100,-82,-93,-77,100,100,100,-80,-89,-85,100,-81,-80,-80,100,100,100,100,100,-80,-91
5,2022-07-22-13:34:47,-85,-59,-83,100,-61,100,-87,-92,-77,100,100,100,-80,-82,-78,100,-91,-94,-76,100,100,100,100,100,-85,-76
6,2022-07-22-13:34:52,-84,-68,100,100,-63,-96,-83,-92,-83,100,100,100,-80,-89,-78,100,-76,-71,-93,100,100,100,100,100,-85,-91
7,2022-07-22-13:34:57,-90,-68,-87,100,-69,-80,-88,100,-83,100,100,100,-80,-82,-83,100,-75,-91,-93,100,100,100,100,100,-85,-80
8,2022-07-22-13:35:02,-90,-67,-94,100,-67,100,-87,-99,-82,100,100,100,-91,-82,-75,100,-91,-95,-80,100,100,100,100,100,-85,-80
9,2022-07-22-13:35:07,-89,-65,-87,100,-64,-95,100,100,-76,100,100,100,-88,-82,-85,100,-79,-71,-93,100,100,100,100,100,100,100
10,2022-07-22-13:35:12,-94,-68,-86,100,-69,100,-88,100,-76,100,100,100,-88,100,-83,100,-85,-94,-93,100,100,100,100,100,-85,-92
11,2022-07-22-13:35:17,100,-67,-94,100,-64,-93,-82,-97,-82,100,100,100,100,-91,-85,100,-83,-90,-80,100,100,100,100,100,-80,-89
12,2022-07-22-13:35:22,-93,-62,-87,100,100,-80,-92,100,-76,100,100,100,-88,-85,100,100,-91,-93,-79,100,100,100,100,100,-80,-87
13,2022-07-22-13:35:27,-85,-62,-83,100,-69,-90,-82,-96,-77,100,100,100,-81,-82,-83,100,-80,-68,-74,100,100,100,100,100,-83,-88
14,2022-07-22-13:35:32,100,-64,-87,100,-66,-86,-88,-92,-82,100,100,100,-91,-88,-75,100,-88,-70,-79,100,100,100,100,100,-87,-79
15,2022-07-22-13:35:37,-89,-62,-89,100,-64,100,-93,100,-81,100,100,100,-90,-89,-81,100,-92,-71,-81,100,100,100,100,100,-78,-92
16,2022-07-22-13:35:42,-96,-65,-87,100,-67,100,-87,100,-85,100,100,100,-93,-79,-78,100,-83,-85,-93,100,100,100,100,100,-90,-76
17,2022-07-22-13:35:47,-86,-62,100,100,-67,100,-82,-93,-79,100,100,100,-87,-87,-78,100,-85,-85,-79,100,100,100,100,100,-76,-76
18,2022-07-22-13:35:52,-91,-67,-88,100,-61,100,-83,-97,-85,100,100,100,-87,-80,-86,100,-82,-68,-93,100,100,100,100,100,-86,-81
19,2022-07-22-13:35:57,-86,-58,-82,100,-67,-87,-87,-97,-78,100,100,100,-83,-77,-78,100,-81,-79,-74,100,100,100,100,100,-86,-75
20,2022-07-22-13:36:02,-90,-67,100,100,-64,-83,-87,100,-85,100,100,100,-87,-85,-86,100,-81,-93,100,100,100,100,100,100,-77,-75
21,2022-07-22-13:36:07,-81,-61,-87,100,-70,-83,-82,100,-85,100,100,100,-83,-80,-83,100,-81,-68,-92,100,100,100,100,100,-86,-86
22,2022-07-22-13:36:12,-89,-58,100,100,-67,-83,-87,100,100,100,100,100,-82,-86,-75,100,100,-68,-77,100,100,100,100,100,100,-92
23,2022-07-22-13:36:17,100,-58,-84,100,-67,-82,-92,100,100,100,100,100,-88,-77,-78,100,-86,-68,-74,100,100,100,100,100,-92,-86
24,2022-07-22-13:36:22,-90,-61,-82,100,-61,-91,-87,-96,-85,100,100,100,-81,-79,-78,100,100,-85,-74,100,100,100,100,100,-87,-90
25,2022-07-22-13:36:27,-88,-68,-82,100,-63,-87,-87,100,-84,100,100,100,-96,-83,-78,100,-83,-88,-77,100,100,100,100,100,-82,-84
26,2022-07-22-13:36:32,-93,-61,-82,100,-64,100,-87,100,-85,100,100,100,-89,-81,-75,100,-84,-93,-89,100,100,100,100,100,-92,-79
27,2022-07-22-13:36:37,-91,-62,-94,100,-64,100,-88,-91,-86,100,100,100,-87,-83,-83,100,-79,-95,-81,100,100,100,100,100,-85,-84
28,2022-07-22-13:36:42,-89,-59,-88,100,-62,100,-88,100,-71,100,100,100,-86,-92,-75,100,-81,-68,-79,100,100,100,100,100,-81,-81
29,2022-07-22-13:36:47,-91,-65,-82,100,-64,-90,-88,-93,-82,100,100,100,-102,-85,-82,100,-81,-71,-81,100,100,100,100,100,-93,-77
30,2022-07-22-13:36:52,-87,-64,-83,100,-67,-87,-92,100,-78,100,100,100,-86,100,-78,100,-75,-88,-86,100,100,100,100,100,-94,-76
31,2022-07-22-13:36:57,100,-57,-81,100,-67,-83,-88,100,-76,100,100,100,-101,-93,-80,100,-85,-68,-93,100,100,100,100,100,-75,-86
32,2022-07-22-13:37:02,-94,-74,-92,100,-70,-87,-87,100,-80,100,100,100,-88,-79,-81,100,-81,-92,-81,100,100,100,100,100,-81,-77
33,2022-07-22-13:37:07,-89,-58,-81,100,100,-87,-88,100,-77,100,100,100,-86,-86,-78,100,100,-80,-75,100,100,100,100,100,-80,-85
34,2022-07-22-13:37:12,100,-59,-87,100,-64,100,-93,-99,-77,100,100,100,100,-88,-84,100,-80,-68,100,100,100,100,100,100,-85,-77
35,2022-07-22-13:37:17,-90,-59,-90,100,-65,100,-88,100,-80,100,100,100,-85,-84,-71,100,-75,-90,-75,100,100,100,100,100,-82,-77
36,2022-07-22-13:37:22,-93,-72,-82,100,-67,-86,-88,-97,100,100,100,100,-84,-83,-78,100,-79,-100,100,100,100,100,100,100,-83,-77
37,2022-07-22-13:37:27,-88,-72,-81,100,-63,-83,-83,-96,-77,100,100,100,-80,-87,-78,100,-76,-79,-74,100,100,100,100,100,-82,-83
38,2022-07-22-13:37:32,-90,-71,-82,100,-67,-90,-83,-91,-76,100,100,100,100,-79,-70,100,-75,-80,-75,100,100,100,100,100,-80,-78
39,2022-07-22-13:37:37,-91,-65,-93,100,-67,-81,-83,100,-76,100,100,100,-86,-81,-78,100,-76,-93,-81,100,100,100,100,100,-85,-80
40,2022-07-22-13:37:42,-85,-71,-83,100,-63,100,-83,-95,-71,100,100,100,-84,-89,-78,100,-75,-68,-87,100,100,100,100,100,-90,-83
41,2022-07-22-13:37:47,-85,-61,-83,100,-64,-88,-83,-92,-71,100,100,100,-85,-87,-70,100,-95,-68,-87,100,100,100,100,100,-80,-84
42,2022-07-22-13:37:52,-89,-61,-93,100,-67,-87,-88,100,-71,100,100,100,-85,-84,-80,100,-77,-68,-87,100,100,100,100,100,-85,-81
43,2022-07-22-13:37:57,-89,-61,-89,100,-67,-83,-88,-94,-77,100,100,100,-80,-79,-78,100,-77,-80,-76,100,100,100,100,100,-80,-83
44,2022-07-22-13:38:02,-89,-58,-89,100,-67,-87,-88,-91,-77,100,100,100,-84,-87,-78,100,-77,-80,-87,100,100,100,100,100,-80,-76
45,2022-07-22-13:38:07,-89,-61,-82,100,-67,-87,-83,-91,-80,100,100,100,-80,-90,-78,100,-77,-68,-81,100,100,100,100,100,-90,-76
46,2022-07-22-13:38:12,-89,-61,-88,100,-62,-83,-88,-91,-76,100,100,100,-80,-87,-80,100,-77,-80,-75,100,100,100,100,100,-80,-84
47,2022-07-22-13:38:17,-85,-61,-83,100,-63,100,-82,100,-71,100,100,100,-85,-89,-80,100,-77,-80,-75,100,100,100,100,100,-80,-83
