index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-19:30:51,-76,-87,-62,-98,-84,-92,-88,-83,-74,-97,-96,-96,-95,-85,100,-72,-82,-63,100,100,-68,100,100,-99,-75
1,2022-07-22-19:30:56,100,-79,-61,100,-84,100,-92,-82,-71,100,100,100,100,-94,100,100,-77,-68,100,100,100,100,100,100,100
2,2022-07-22-19:31:01,100,-76,-58,100,-92,100,-87,-82,-69,100,100,100,100,-88,100,100,-82,-68,100,100,100,100,100,100,100
3,2022-07-22-19:31:06,100,-76,-64,100,100,100,-87,-84,-70,100,100,100,100,100,100,100,-80,-73,100,100,100,100,100,100,100
4,2022-07-22-19:31:11,100,-82,-61,100,-88,100,-91,-89,-72,-100,100,100,100,-85,100,100,-78,-70,100,100,100,100,100,100,100
5,2022-07-22-19:31:16,100,-76,-60,100,-89,100,-88,-85,-69,100,100,100,100,-89,100,100,-82,-67,100,100,100,100,100,100,100
6,2022-07-22-19:31:21,100,-84,-61,100,-86,100,-90,-88,-68,100,100,100,100,-92,100,100,-78,-71,100,100,100,100,100,100,100
7,2022-07-22-19:31:26,100,-84,-61,100,-86,100,100,-92,-68,-100,100,100,100,-85,100,100,-77,-70,100,100,100,-95,100,100,100
8,2022-07-22-19:31:31,100,-86,-62,100,-86,100,-88,-87,100,100,100,100,100,-91,100,100,-78,-69,100,100,100,100,100,100,100
9,2022-07-22-19:31:36,100,-84,-61,100,-85,100,-91,-92,-68,100,-100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
10,2022-07-22-19:31:41,100,-86,-62,100,-85,100,-89,-84,-69,100,100,100,100,-89,100,100,-82,-69,100,100,100,100,100,100,100
11,2022-07-22-19:31:46,100,-86,-62,100,-87,100,-88,-87,-96,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
12,2022-07-22-19:31:51,100,-76,-60,100,100,100,-87,-85,-69,100,100,100,100,100,100,100,-82,-68,100,100,100,100,100,100,100
13,2022-07-22-19:31:56,100,-86,-62,100,-88,100,-87,-87,-97,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
14,2022-07-22-19:32:01,100,-84,-61,100,-85,100,-90,-91,-68,-98,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
15,2022-07-22-19:32:06,100,-76,-59,100,100,100,-88,-84,-69,100,100,100,100,-90,100,100,-81,-67,100,100,100,100,100,100,100
16,2022-07-22-19:32:11,100,-84,-61,100,-85,100,-90,100,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
17,2022-07-22-19:32:16,100,-76,-60,100,100,100,-87,-85,-69,100,100,100,100,-90,100,100,-82,-67,100,100,100,100,100,100,100
18,2022-07-22-19:32:21,100,-86,-62,100,-87,100,-88,-88,-69,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
19,2022-07-22-19:32:26,100,-84,-62,100,-85,100,-90,-91,-68,100,100,100,100,-85,100,100,-77,-72,100,100,100,100,100,100,100
20,2022-07-22-19:32:31,100,-86,100,100,-87,100,-88,-87,100,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
21,2022-07-22-19:32:36,100,-84,-61,100,-85,100,-91,-90,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
22,2022-07-22-19:32:41,100,-76,-60,100,-85,100,-89,-84,-70,100,100,100,100,-89,100,100,-81,-67,100,100,100,100,100,100,100
23,2022-07-22-19:32:46,100,-86,-62,100,-87,100,-89,-88,-70,100,100,100,100,100,100,100,-78,-70,100,100,100,100,100,100,100
24,2022-07-22-19:32:51,100,100,100,100,-88,100,-87,100,-69,100,100,100,100,-90,100,100,100,-67,100,100,100,100,100,100,100
25,2022-07-22-19:32:56,100,-85,-63,100,-86,100,-89,-88,-70,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
26,2022-07-22-19:33:01,100,-86,-62,100,-85,100,-89,-91,-68,100,100,100,100,-85,100,100,-80,-68,100,100,100,100,100,100,100
27,2022-07-22-19:33:06,100,-76,-60,100,-85,100,-92,-85,-69,100,100,100,100,-90,100,100,-82,-68,100,100,100,100,100,100,100
28,2022-07-22-19:33:11,100,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,100,100,100,100,100
29,2022-07-22-19:33:16,100,-76,-60,100,-85,100,-88,-84,-69,100,100,100,100,-90,100,100,-81,-67,100,100,100,100,100,100,100
30,2022-07-22-19:33:21,100,-86,-62,100,-87,100,-88,-88,-69,100,100,100,100,-92,100,100,-78,-70,100,100,100,100,100,100,100
31,2022-07-22-19:33:26,100,-84,-61,100,-85,100,-90,-90,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
32,2022-07-22-19:33:31,100,-84,100,100,-85,100,-90,100,-68,100,100,100,100,-86,100,100,-77,-72,100,100,100,100,100,100,100
33,2022-07-22-19:33:36,100,-86,-61,100,-87,100,-90,-91,-68,100,100,100,100,-85,100,100,-77,-69,100,100,100,100,100,100,100
34,2022-07-22-19:33:41,100,-76,-60,100,-91,100,-89,-84,-70,100,100,100,100,-89,100,100,-77,-72,100,100,100,-95,100,100,100
35,2022-07-22-19:33:46,100,-86,-62,100,-87,100,-88,-88,-96,100,100,100,100,-90,100,100,-78,-69,100,100,100,100,100,100,100
36,2022-07-22-19:33:51,100,-86,-62,100,-87,100,-88,-87,100,100,100,100,100,-92,100,100,-78,-69,100,100,100,100,100,100,100
37,2022-07-22-19:33:56,100,-76,-60,100,-86,100,-89,-84,-69,100,100,100,100,-91,100,100,-82,-67,100,100,100,100,100,100,100
38,2022-07-22-19:34:01,100,-86,-63,100,-85,100,-90,-88,-68,100,100,100,100,-85,100,100,-77,-70,100,100,100,-94,100,100,100
39,2022-07-22-19:34:06,100,-76,-60,100,-85,100,-89,-84,-69,100,100,100,100,-90,100,100,-82,-67,100,100,100,100,100,100,100
40,2022-07-22-19:34:11,100,-76,-60,100,100,100,-87,-84,-72,100,100,100,100,-87,100,100,-82,-66,100,100,100,100,100,100,100
41,2022-07-22-19:34:16,100,-84,-61,100,-86,100,-90,-91,-68,-97,100,100,100,-85,100,100,-77,-72,100,100,100,100,100,-93,100
42,2022-07-22-19:34:21,100,-86,-62,100,-87,100,-88,-88,-69,100,100,100,100,-89,100,100,-81,-69,100,100,100,100,100,100,100
43,2022-07-22-19:34:26,100,-84,-61,100,-85,100,-90,-92,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
44,2022-07-22-19:34:31,100,100,-61,100,-86,100,-91,-92,-68,100,100,100,100,-84,100,100,-78,-71,100,100,100,100,100,100,100
45,2022-07-22-19:34:36,100,-86,-62,100,-87,100,-88,-88,-93,100,100,100,100,-92,100,100,-79,-69,100,100,100,100,100,100,100
46,2022-07-22-19:34:41,100,-85,-61,100,-86,100,-92,100,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,-96,100,100,100
47,2022-07-22-19:34:46,100,-76,-62,100,-91,100,-88,-89,-69,100,100,100,100,-90,100,100,-82,-70,100,100,100,100,100,100,100
48,2022-07-22-19:34:51,100,-87,-63,100,-86,100,-88,-89,-94,100,100,100,100,-91,100,100,-78,-69,100,100,100,100,100,100,100
49,2022-07-22-19:34:56,100,-76,-60,100,-92,100,-89,-85,-69,100,100,100,100,-90,100,100,-81,-67,100,100,100,100,100,100,100
50,2022-07-22-19:35:01,100,-86,-63,100,-88,100,-88,-88,100,100,100,100,100,-91,100,100,-78,-69,100,100,100,100,100,100,100
51,2022-07-22-19:35:06,100,-76,-60,100,-85,100,-88,-84,-68,100,-98,100,100,-85,100,100,-78,-67,100,100,100,100,100,100,100
52,2022-07-22-19:35:11,100,-76,-60,100,-91,100,-88,-85,-69,100,100,100,100,-90,100,100,-81,-67,100,100,100,100,100,100,100
53,2022-07-22-19:35:16,100,-84,-61,100,-85,100,-90,100,-68,100,100,100,100,-85,100,100,-77,-71,100,100,100,100,100,100,100
