index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-79.98
0,2022-07-23-14:49:34,-81,-84,100,100,-78,-57,100,100,-91,100,100,100,-85,-84,-89,100,-75,-99,100,100,100,100,100,100,-82,-76,36,
1,2022-07-23-14:49:39,-76,-70,100,100,-80,-64,100,100,100,100,100,100,-93,-89,-91,100,-76,100,100,100,100,100,100,100,-75,-72,36,
2,2022-07-23-14:49:44,-85,-69,100,100,-83,-54,100,100,-95,100,100,100,-88,100,-90,100,-83,-96,100,100,100,100,100,100,-76,-76,36,
3,2022-07-23-14:49:49,-79,-71,100,100,-75,-58,100,100,100,100,100,100,-93,-86,-91,100,-80,100,100,100,100,100,100,100,-76,-80,36,
4,2022-07-23-14:49:54,-79,-78,100,100,-80,-61,100,100,100,100,100,100,-88,-86,-93,100,-86,100,100,100,100,100,100,100,-81,-70,36,
5,2022-07-23-14:49:59,-77,-79,100,100,-82,-52,100,100,100,100,100,100,-84,-87,100,100,-80,100,100,100,100,100,100,100,-68,-67,36,
6,2022-07-23-14:50:04,-86,-71,100,100,-78,-57,100,100,100,100,100,100,-79,-86,100,100,-72,100,100,100,100,100,100,100,-77,-66,36,
7,2022-07-23-14:50:09,-76,-87,100,100,-79,-51,100,100,-95,100,100,100,-82,-81,100,100,-84,100,100,100,100,100,100,100,-73,-66,36,
8,2022-07-23-14:50:14,-78,-71,100,100,-86,-51,100,100,100,100,100,100,-81,-88,-92,100,-89,100,100,100,100,100,100,100,-73,-74,36,
9,2022-07-23-14:50:19,-86,-88,100,100,-85,-57,100,100,100,100,100,100,-81,-94,-92,100,-81,-96,100,100,100,100,100,100,-73,-66,36,
10,2022-07-23-14:50:24,-86,-88,100,100,-79,-51,100,100,100,100,100,100,-81,-96,100,100,-77,100,100,100,100,100,100,100,-77,-71,36,
11,2022-07-23-14:50:29,-83,-70,100,100,-79,-51,100,100,-99,100,100,100,-86,-83,100,100,-78,100,100,100,100,100,100,100,-77,-71,36,
12,2022-07-23-14:50:34,100,-70,100,100,-79,-51,100,100,100,100,100,100,-83,-86,-93,100,-86,100,100,100,100,100,100,100,-73,-71,36,
13,2022-07-23-14:50:39,-79,-88,100,100,-79,-51,100,100,-98,100,100,100,-85,-82,-93,100,-77,-95,100,100,100,100,100,100,-77,-71,36,
14,2022-07-23-14:50:44,-88,-70,100,100,-79,-51,100,100,100,100,100,100,-88,-87,-92,100,-76,100,100,100,100,100,100,100,-73,-76,36,
15,2022-07-23-14:50:49,-80,-71,100,100,-79,-51,100,100,-98,100,100,100,-80,-88,-93,100,-78,100,100,100,100,100,100,100,-73,-68,36,
16,2022-07-23-14:50:54,-86,-71,100,100,-78,-51,100,100,100,100,100,100,-84,-84,100,100,-78,100,100,100,100,100,100,100,-73,-70,36,
17,2022-07-23-14:50:59,-79,-70,100,100,-79,-51,100,100,100,100,100,100,-83,-85,100,100,-78,100,100,100,100,100,100,100,-77,-75,36,
18,2022-07-23-14:51:04,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-83,-86,100,100,-85,-97,100,100,100,100,100,100,-73,-75,36,
19,2022-07-23-14:51:09,-78,-71,100,100,-79,-51,100,100,100,100,100,100,-84,-85,-93,100,-85,100,100,100,100,100,100,100,-73,-71,36,
20,2022-07-23-14:51:14,-86,-70,100,100,-79,-51,100,100,100,100,100,100,-82,-85,100,100,-85,100,100,100,100,100,100,100,-77,-71,36,
21,2022-07-23-14:51:19,-79,-70,100,100,-85,-51,100,100,100,100,100,100,-83,-86,-93,100,-77,100,100,100,100,100,100,100,-77,-67,36,
22,2022-07-23-14:51:24,-86,-89,100,100,-79,-57,100,100,100,100,100,100,-80,-86,-93,100,-85,100,100,100,100,100,100,100,-77,-66,36,
23,2022-07-23-14:51:29,-78,-71,100,100,-78,100,100,100,100,100,100,100,-82,100,-93,100,-85,100,100,100,100,100,100,100,-73,-71,36,
24,2022-07-23-14:51:34,-85,-88,100,100,-79,-51,100,100,100,100,100,100,-80,-85,-92,100,-77,100,100,100,100,100,100,100,-73,-71,36,
25,2022-07-23-14:51:39,-78,-70,100,100,-85,-51,100,100,-98,100,100,100,-80,-85,100,100,-78,100,100,100,100,100,100,100,-73,-66,36,
26,2022-07-23-14:51:44,-78,-70,100,100,-79,-57,100,100,100,100,100,100,-83,-86,100,100,-85,100,100,100,100,100,100,100,-73,-75,36,
27,2022-07-23-14:51:49,-78,-71,100,100,-79,-51,100,100,100,100,100,100,-82,-85,-93,100,-77,100,100,100,100,100,100,100,-73,-75,36,
28,2022-07-23-14:51:54,-78,-70,100,100,-85,-51,100,100,100,100,100,100,-83,100,100,100,-85,-97,100,100,100,100,100,100,-73,-71,36,
29,2022-07-23-14:51:59,-78,-71,100,100,-79,-51,100,100,100,100,100,100,-82,-85,100,100,-85,100,100,100,100,100,100,100,-73,-67,36,
30,2022-07-23-14:52:04,-78,-71,100,100,-85,-51,100,100,100,100,100,100,-80,-86,-94,100,-77,-96,100,100,100,100,100,100,-73,-67,36,
31,2022-07-23-14:52:09,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-79,-85,-93,100,-77,-96,100,100,100,100,100,100,-77,-75,36,
32,2022-07-23-14:52:14,-78,-71,100,100,-78,-51,100,100,100,100,100,100,-79,-86,-93,100,-77,-97,100,100,100,100,100,100,-73,-75,36,
33,2022-07-23-14:52:19,-78,-70,100,100,-79,-51,100,100,100,100,100,100,-82,-84,-93,100,100,-96,100,100,100,100,100,100,-73,-71,36,
34,2022-07-23-14:52:24,-86,-70,100,100,-79,-51,100,100,100,100,100,100,-86,-81,-93,100,-85,-97,100,100,100,100,100,100,-76,-67,36,
35,2022-07-23-14:52:29,-79,-69,100,100,-79,-51,100,100,100,100,100,100,-87,-87,100,100,-83,100,100,100,100,100,100,100,-77,-73,36,
36,2022-07-23-14:52:34,-79,-88,100,100,100,-57,100,100,100,100,100,100,-79,-88,-92,100,-77,100,100,100,100,100,100,100,-71,-78,36,
37,2022-07-23-14:52:39,-78,-69,100,100,-78,-51,100,100,100,100,100,100,-83,-85,100,100,-78,100,100,100,100,100,100,100,-76,-72,36,
38,2022-07-23-14:52:44,-78,-71,100,100,-79,-57,100,100,100,100,100,100,-83,-86,-92,100,-85,100,100,100,100,100,100,100,-77,-71,36,
39,2022-07-23-14:52:49,-85,-88,100,100,-78,-57,100,100,100,100,100,100,-83,-86,-93,100,-77,100,100,100,100,100,100,100,-73,-74,36,
40,2022-07-23-14:52:54,-78,-89,100,100,-78,-51,100,100,-97,100,100,100,-82,-85,100,100,-77,-96,100,100,100,100,100,100,-73,-71,36,
41,2022-07-23-14:52:59,-77,-71,100,100,-79,-51,100,100,100,100,100,100,-80,-85,-93,100,-77,-96,100,100,100,100,100,100,-74,-67,36,
42,2022-07-23-14:53:04,-78,-70,100,100,-79,-51,100,100,-96,100,100,100,-79,-86,-93,100,-77,100,100,100,100,100,100,100,-73,-67,36,
43,2022-07-23-14:53:09,-86,-71,100,100,-85,-51,100,100,100,100,100,100,-84,-86,100,100,-85,-97,100,100,100,100,100,100,-73,-75,36,
