index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-20:39:16,100,100,100,-85,-96,100,-94,-96,100,-80,-90,-80,100,100,-93,-92,100,-86,-93,-62,-73,100,-89,-82,100,100,12
1,2022-07-19-20:39:21,100,100,100,-70,-90,100,100,100,100,-76,-80,-76,100,100,100,-92,100,100,-87,-58,-65,100,-87,-80,100,100,12
2,2022-07-19-20:39:26,100,100,100,-70,100,100,-92,100,100,-74,-85,-77,100,100,100,-91,100,-84,-85,-63,-63,100,-85,-75,100,100,12
3,2022-07-19-20:39:31,100,100,100,-71,-88,100,-97,100,100,-73,-84,-73,100,100,100,-89,100,-86,-96,-59,-62,100,-86,-80,100,100,12
4,2022-07-19-20:39:36,100,100,100,-69,100,100,100,100,100,-74,-78,-78,100,100,-93,-89,100,-86,-85,-65,-61,100,-82,-82,100,100,12
5,2022-07-19-20:39:41,100,100,100,-76,-95,100,-94,100,100,-79,-90,-74,100,100,-97,-87,100,-85,-86,-54,-64,100,-82,-83,100,100,12
6,2022-07-19-20:39:46,100,100,100,-68,-86,100,-91,100,100,-77,-84,-79,100,100,-98,-89,100,-88,100,-65,-63,100,-94,-77,100,100,12
7,2022-07-19-20:39:51,100,100,100,-69,-92,100,-90,100,100,-73,-80,-77,100,100,100,-86,100,-89,-87,-65,-63,100,-81,-74,100,100,12
8,2022-07-19-20:39:56,100,100,100,-68,-91,100,-92,100,100,-74,-79,-75,100,100,-97,-90,100,-91,-85,-65,-71,100,-93,-78,100,100,12
9,2022-07-19-20:40:01,100,100,100,-72,-91,100,-93,100,100,-80,-84,-74,100,100,100,-90,100,-83,-86,-65,-64,100,-82,-75,100,100,12
10,2022-07-19-20:40:06,100,100,100,-72,-92,100,100,100,100,-78,-85,-73,100,100,100,-85,100,-85,-86,-54,-71,100,-81,-81,100,100,12
11,2022-07-19-20:40:11,100,100,100,-70,100,100,-93,100,100,-76,-86,-74,100,100,100,-92,100,-85,-86,-54,-63,100,-82,-81,100,100,12
12,2022-07-19-20:40:16,100,100,100,-69,-89,100,100,100,100,-71,-80,-78,100,100,-97,-92,100,-89,-86,-61,-65,100,-88,-79,100,100,12
13,2022-07-19-20:40:21,100,100,100,-72,-92,100,-96,100,100,-76,-84,-78,100,100,100,-85,100,-84,100,-62,-65,100,-81,-79,100,100,12
14,2022-07-19-20:40:26,100,100,100,-69,-94,100,-97,100,100,-76,-82,-74,100,100,100,-90,100,-83,-86,-59,-64,100,-82,-76,100,100,12
15,2022-07-19-20:40:31,100,100,100,-69,-84,100,-90,-95,100,-76,-85,-76,100,100,100,-88,100,100,-86,-65,-64,100,-89,-80,100,100,12
16,2022-07-19-20:40:36,100,100,100,-70,100,100,-92,100,100,-73,-80,-78,100,100,100,-89,100,-90,-87,-65,-64,100,-87,-80,100,100,12
17,2022-07-19-20:40:41,100,100,100,-71,100,100,100,100,100,-76,-83,-78,100,100,100,-87,100,-88,-85,-65,-71,100,100,-80,100,100,12
18,2022-07-19-20:40:46,100,100,100,-69,-87,100,-99,100,100,-73,-80,-73,100,100,-95,-87,100,100,-85,-60,-64,100,-81,-80,100,100,12
19,2022-07-19-20:40:51,100,100,100,-70,-86,100,-96,-94,100,-73,-80,-79,100,100,100,-87,100,-84,-85,-54,-64,100,-81,-76,100,100,12
20,2022-07-19-20:40:56,100,100,100,-72,-86,100,100,-93,100,-73,-82,-74,100,100,-96,-87,100,-88,100,-60,-64,100,-81,-90,100,100,12
21,2022-07-19-20:41:01,100,100,100,-69,-86,100,-96,100,100,-73,-83,-74,100,100,-95,-87,100,100,-85,-65,-64,100,-81,-80,100,100,12
22,2022-07-19-20:41:06,100,100,100,-69,-86,100,-96,100,100,-75,-85,-74,100,100,-96,-85,100,100,-99,-54,-71,100,100,-80,100,100,12
23,2022-07-19-20:41:11,100,100,100,-69,100,100,100,-94,100,-72,-83,-78,100,100,-95,-85,100,-88,-85,-54,-64,100,-81,-80,100,100,12
24,2022-07-19-20:41:16,100,100,100,-69,-91,100,100,100,100,-76,-85,-79,100,100,-95,-85,100,-88,-85,-60,-71,100,-81,-80,100,100,12
25,2022-07-19-20:41:21,100,100,100,-69,-93,100,100,100,100,-73,-83,-73,100,100,-96,-87,100,-88,-85,-54,-64,100,-81,-76,100,100,12
26,2022-07-19-20:41:26,100,100,100,100,-85,100,-97,100,100,-72,-82,-74,100,100,100,-87,100,100,100,-60,-72,100,100,-75,100,100,12
27,2022-07-19-20:41:31,100,100,100,-69,-91,100,-96,-95,100,-74,-82,-79,100,100,100,-85,100,-88,-85,-66,-71,100,-81,-90,100,100,12
28,2022-07-19-20:41:36,100,100,100,-72,-85,100,-96,-94,100,-76,-82,-79,100,100,100,-85,100,-88,100,-65,-63,100,-81,-75,100,100,12
29,2022-07-19-20:41:41,100,100,100,-69,-86,100,-96,100,100,-76,-85,-79,100,100,100,-85,100,-89,-85,-65,-63,100,-81,-80,100,100,12
30,2022-07-19-20:41:46,100,100,100,-69,100,100,-96,100,100,-73,-80,-79,100,100,-96,-87,100,-88,-97,-65,-64,100,-81,-75,100,100,12
31,2022-07-19-20:41:51,100,100,100,-69,-86,100,100,-95,100,-73,-82,-79,100,100,100,-85,100,-84,-85,-65,-63,100,-81,-76,100,100,12
32,2022-07-19-20:41:56,100,100,100,-69,100,100,100,-95,100,-75,-83,-73,100,100,100,-92,100,-88,-85,-65,-64,100,-81,-75,100,100,12
33,2022-07-19-20:42:01,100,100,100,-69,-93,100,-96,100,100,-74,-82,-74,100,100,100,-85,100,-85,-85,-65,-64,100,-81,-76,100,100,12
34,2022-07-19-20:42:06,100,100,100,-70,-86,100,100,-94,100,-74,-80,-79,100,100,100,-87,100,-84,-85,-60,-63,100,-89,-90,100,100,12
35,2022-07-19-20:42:11,100,100,100,-69,100,100,-96,100,100,-76,-82,-74,100,100,-95,-87,100,-88,-99,-60,-64,100,-89,-75,100,100,12
36,2022-07-19-20:42:16,100,100,100,-69,-86,100,100,-95,100,-74,-82,-73,100,100,-96,-87,100,100,-85,-60,-63,100,-89,-75,100,100,12
37,2022-07-19-20:42:21,100,100,100,-69,-86,100,100,100,100,-76,-83,-74,100,100,-95,-87,100,-84,-85,-65,-64,100,-81,-90,100,100,12
38,2022-07-19-20:42:26,100,100,100,-69,100,100,100,100,100,-73,-83,-79,100,100,100,-87,100,-85,-85,-60,-64,100,-80,-76,100,100,12
39,2022-07-19-20:42:31,100,100,100,-69,-91,100,-96,-94,100,-76,-85,-78,100,100,-96,-92,100,-85,-85,-60,-64,100,-81,-80,100,100,12
40,2022-07-19-20:42:36,100,100,100,-72,-91,100,-92,-94,100,-79,-81,-73,100,100,100,-86,100,-89,-86,-54,-71,100,-81,-85,100,100,12
41,2022-07-19-20:42:41,100,100,100,-68,-93,100,-95,100,100,-76,-80,-79,100,100,100,-85,100,-85,-86,-60,-63,100,-81,-76,100,100,12
42,2022-07-19-20:42:46,100,100,100,-72,-86,100,100,-95,100,-73,-84,-79,100,100,-96,-85,100,-85,100,-54,-71,100,-81,-76,100,100,12
43,2022-07-19-20:42:51,100,100,100,-70,-86,100,-96,100,100,-74,-83,-74,100,100,100,-91,100,-85,-85,-54,-64,100,-81,-76,100,100,12
44,2022-07-19-20:42:56,100,100,100,-71,100,100,-95,-93,100,-76,-80,-79,100,100,100,-92,100,-88,-85,-54,-63,100,-81,-76,100,100,12
45,2022-07-19-20:43:01,100,100,100,-72,100,100,-96,-95,100,-72,-82,-78,100,100,100,-87,100,-84,-85,-60,-63,100,-81,-90,100,100,12
