index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-15:00:55,100,-96,100,-92,-83,100,-82,-80,-83,-96,100,-96,100,100,-91,100,100,-76,-60,100,100,100,100,100,-96,100,52
1,2022-07-22-15:01:00,100,-86,100,100,-88,100,-86,-85,-75,-97,100,-91,100,100,-82,100,100,-72,-70,100,100,100,100,100,100,100,52
2,2022-07-22-15:01:05,100,-87,100,-98,-88,100,-85,-84,-82,100,100,100,100,100,-89,100,100,-72,-71,100,100,100,100,100,100,100,52
3,2022-07-22-15:01:10,100,-86,100,100,-88,100,-83,-84,-78,-91,100,100,100,100,-82,100,100,-72,-70,100,100,100,100,100,100,100,52
4,2022-07-22-15:01:15,100,100,100,100,-88,100,-86,100,-71,100,100,-91,100,100,-88,100,100,-71,-74,100,100,100,100,100,-96,100,52
5,2022-07-22-15:01:20,100,-80,100,100,-97,100,-84,-77,-82,-98,100,100,100,100,-82,100,100,-70,-70,100,100,100,100,100,100,100,52
6,2022-07-22-15:01:25,100,-79,100,-97,-89,100,-80,-82,-73,100,100,-92,100,100,-92,100,100,-70,-60,100,100,100,100,100,100,100,52
7,2022-07-22-15:01:30,100,-96,100,100,100,100,-84,-77,-76,100,100,100,100,100,100,100,100,-85,-67,100,100,100,100,100,100,100,52
8,2022-07-22-15:01:35,100,-84,100,100,-89,100,-80,-79,-74,-92,100,100,100,100,-88,100,100,-71,-66,100,100,100,100,100,100,100,52
9,2022-07-22-15:01:40,100,-79,100,-97,-89,100,-80,-77,-72,-91,100,100,100,100,-84,100,100,-70,-71,100,100,100,100,100,100,100,52
10,2022-07-22-15:01:45,100,-84,100,-97,-94,100,-86,-84,-74,-98,100,100,100,100,-88,100,100,-69,100,100,100,100,100,100,100,100,52
11,2022-07-22-15:01:50,100,-84,100,100,-89,100,-86,-77,-76,100,100,100,100,100,-85,100,100,-80,-75,100,100,100,100,100,100,100,52
12,2022-07-22-15:01:55,100,-84,100,100,-89,100,-86,-77,-76,-96,100,100,100,100,-84,100,100,-69,-71,100,100,100,100,100,100,100,52
13,2022-07-22-15:02:00,100,-84,100,-99,-89,100,-86,-84,-74,100,100,100,100,100,-88,100,100,-80,-75,100,100,100,100,100,100,100,52
14,2022-07-22-15:02:05,100,-79,100,100,-88,100,-86,-76,-73,100,100,100,100,100,-82,100,100,-69,-71,100,100,100,100,100,100,100,52
15,2022-07-22-15:02:10,100,-84,100,-97,100,100,-86,-85,-73,100,100,100,100,100,-82,100,100,-80,-75,100,100,100,100,100,100,100,52
16,2022-07-22-15:02:15,100,-79,100,100,-88,100,-83,-77,-76,-91,100,100,100,100,-82,100,100,-69,-63,100,100,100,100,100,100,100,52
17,2022-07-22-15:02:20,100,-84,100,100,-95,100,-82,-84,-73,100,100,100,100,100,-84,100,100,-80,-71,100,100,100,100,100,100,100,52
18,2022-07-22-15:02:25,100,-79,100,-96,-88,100,-91,-76,-76,100,100,100,100,100,-88,100,100,-72,-75,100,100,100,100,100,100,100,52
19,2022-07-22-15:02:30,100,-84,100,100,100,100,-80,-75,-76,100,100,100,100,100,-82,100,100,-69,-71,100,100,100,100,100,100,100,52
