index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,classification
0,2022-07-22-19:42:03,100,-93,-65,-95,-90,100,-93,-72,-81,-94,-89,100,100,-84,-96,100,-78,-65,100,100,100,100,100,-92,100,53,53
1,2022-07-22-19:42:08,100,-88,-68,-93,100,100,-91,-79,-74,100,100,100,100,-80,100,100,-67,-54,100,100,100,100,100,100,100,53,53
2,2022-07-22-19:42:13,100,-87,-61,-93,-88,100,-89,-79,-73,100,100,100,100,-80,100,100,-67,-55,100,100,100,100,100,100,100,53,53
3,2022-07-22-19:42:18,100,-90,-63,100,-85,100,100,-95,-74,100,-92,100,100,-78,100,100,-76,-65,100,100,100,100,100,100,100,53,53
4,2022-07-22-19:42:23,100,-80,-63,100,-85,100,-91,-78,-73,-99,-93,100,100,-80,100,100,-67,-55,100,100,100,100,100,100,100,53,53
5,2022-07-22-19:42:28,100,-80,-61,-93,-88,100,-91,-81,-81,100,100,100,100,-87,100,100,-66,-55,100,100,100,100,100,100,-101,53,53
6,2022-07-22-19:42:33,100,-89,-70,-93,-84,100,-97,100,-74,100,-93,100,100,-79,100,100,-67,-55,100,100,100,100,100,100,100,53,53
7,2022-07-22-19:42:38,100,-81,-61,-93,100,100,-90,-81,-83,100,100,100,100,-87,100,100,-66,-55,100,100,100,100,100,100,100,53,53
8,2022-07-22-19:42:43,100,-88,-64,-96,-85,100,100,-93,-80,100,-93,100,100,-79,100,100,-67,-65,100,100,100,100,100,100,100,53,53
9,2022-07-22-19:42:48,100,-88,-62,100,-85,100,-88,-80,-72,-98,100,100,100,-79,100,100,-66,-55,100,100,100,100,100,100,100,53,53
10,2022-07-22-19:42:53,100,-86,-64,-96,-85,100,-89,-78,-79,100,100,100,100,-87,100,100,-75,-55,100,100,100,100,100,-97,100,53,53
11,2022-07-22-19:42:58,100,-82,-61,-93,-85,100,-90,-78,-72,100,100,100,100,-87,100,100,-67,-55,100,100,100,100,100,100,100,53,53
12,2022-07-22-19:43:03,100,-87,-66,-97,-88,100,-89,-78,-78,100,100,100,100,-79,100,100,-66,-53,100,100,100,100,100,-92,100,53,53
13,2022-07-22-19:43:08,100,-90,-66,100,-85,100,-93,-78,-79,100,100,100,100,-87,100,100,-67,-65,100,100,100,100,100,100,100,53,53
14,2022-07-22-19:43:13,100,-81,-66,-93,-87,100,-93,-81,-81,100,-93,100,100,-79,100,100,-74,-65,100,100,100,100,100,100,100,53,53
15,2022-07-22-19:43:18,100,-90,-66,-93,-85,100,-89,-78,-79,100,100,100,100,-87,100,100,-66,-55,100,100,100,100,100,100,100,53,53
16,2022-07-22-19:43:23,100,100,-61,-93,-85,100,-93,-95,-81,100,100,100,100,-80,100,100,-75,-65,100,100,100,100,100,-97,100,53,53
17,2022-07-22-19:43:28,100,-88,-63,-96,-85,100,-91,-78,-73,100,-92,100,100,-78,100,100,-75,-53,100,100,100,100,100,-97,100,53,53
18,2022-07-22-19:43:33,100,-88,-66,-97,-85,100,-89,-78,-81,100,-93,100,100,-87,100,100,-67,-65,100,100,100,100,100,-97,100,53,53
19,2022-07-22-19:43:38,100,-81,-66,-96,-87,100,100,-78,-73,100,-93,100,100,-78,100,100,100,-54,100,100,100,100,100,-93,100,53,53
20,2022-07-22-19:43:43,100,-90,-61,100,-88,100,-94,-81,-79,100,100,100,100,-78,100,100,-75,-53,100,100,100,100,100,100,100,53,53
21,2022-07-22-19:43:48,100,-88,-63,-97,-85,100,-91,-81,-81,-99,-93,100,100,-78,100,100,-66,-55,100,100,100,100,100,-93,100,53,53
22,2022-07-22-19:43:53,100,-81,-66,-96,-85,100,-94,-81,-79,100,100,100,100,-80,100,100,-67,-54,100,100,100,100,100,100,100,53,53
23,2022-07-22-19:43:58,100,-88,-63,-93,-87,100,-93,-81,-81,-98,100,100,100,-79,100,100,-75,-55,100,100,100,100,100,-93,100,53,53
24,2022-07-22-19:44:03,100,-81,-61,-93,-85,100,-94,-81,-81,100,100,100,100,-78,100,100,-75,-55,100,100,100,100,100,-93,100,53,53
25,2022-07-22-19:44:08,100,-90,-63,-93,100,100,-94,-81,-81,100,-92,100,100,-79,100,100,-75,-53,100,100,100,100,100,-93,100,53,53
26,2022-07-22-19:44:13,100,-81,-61,-93,-87,100,100,-81,-81,100,-93,100,100,-87,100,100,-75,-53,100,100,100,100,100,-93,100,53,53
27,2022-07-22-19:44:18,100,-90,-61,-93,-85,100,100,-81,-81,100,-93,100,100,-79,100,100,-67,-54,100,100,100,100,100,-93,100,53,53
28,2022-07-22-19:44:23,100,-89,-61,-98,-85,100,-91,-81,-79,-98,-93,100,100,-78,100,100,-67,-55,100,100,100,100,100,-91,-100,53,53
29,2022-07-22-19:44:28,100,-84,-61,-92,-88,100,100,-78,-73,-98,-93,100,100,-79,100,100,-68,-54,100,100,100,100,100,-96,100,53,53
30,2022-07-22-19:44:33,100,-91,-64,-93,-85,100,-91,-94,-80,100,100,100,100,-79,100,100,-67,-64,100,100,100,100,100,-96,100,53,53
31,2022-07-22-19:44:38,100,-80,-63,-96,-88,100,100,-82,-78,100,100,100,100,-78,100,100,-66,-65,100,100,100,100,100,100,100,53,53
32,2022-07-22-19:44:43,100,-92,-63,-99,100,100,-90,-79,-80,100,100,100,100,-78,100,100,-67,-53,100,100,100,100,100,100,100,53,53
33,2022-07-22-19:44:48,100,-88,-64,100,-88,100,-90,-78,100,100,-93,100,100,-87,100,100,-67,-64,100,100,100,100,100,-97,100,53,53
34,2022-07-22-19:44:53,100,-93,-67,100,-87,100,-95,-78,-78,100,-93,100,100,-78,100,100,-66,-55,100,100,100,100,100,100,100,53,53
35,2022-07-22-19:44:58,100,-81,-67,-99,-85,100,-90,-94,-80,100,-93,100,100,-87,100,100,-75,-55,100,100,100,100,100,-93,100,53,53
36,2022-07-22-19:45:03,100,-81,-63,-97,100,100,-93,-81,-73,100,-93,100,100,-79,100,100,-66,-53,100,100,100,100,100,-93,100,53,53
37,2022-07-22-19:45:08,100,-81,-66,-96,100,100,100,-78,-79,100,100,100,100,-79,100,100,100,-54,100,100,100,100,100,100,100,53,53
38,2022-07-22-19:45:13,100,-81,-63,100,-87,100,-93,100,-79,100,100,100,100,-79,100,100,100,-65,100,100,100,-94,100,-97,100,53,53
39,2022-07-22-19:45:18,100,-88,-66,-93,-88,100,100,-81,-73,100,-92,100,100,-78,100,100,-67,-65,100,100,100,100,100,100,100,53,53
40,2022-07-22-19:45:23,100,-89,-61,-93,-85,100,-91,-78,-79,100,100,100,100,-78,100,100,-67,-65,100,100,100,100,100,-93,100,53,53
41,2022-07-22-19:45:28,100,-81,-63,100,-88,100,-89,-81,-73,-99,100,100,100,-78,100,100,-75,-65,100,100,100,100,100,-97,100,53,53
42,2022-07-22-19:45:33,100,-81,-66,-96,-85,100,-94,-81,-73,-98,-93,100,100,-78,100,100,-67,-65,100,100,100,100,100,-93,100,53,53
43,2022-07-22-19:45:38,100,-81,-63,-93,100,100,-94,-81,-73,-99,-93,100,100,-80,100,100,-75,-53,100,100,100,100,100,-91,100,53,53
44,2022-07-22-19:45:43,100,-89,-63,-93,-85,100,-90,-78,-73,100,100,100,100,-78,100,100,-67,-54,100,100,100,100,100,-96,100,53,53
45,2022-07-22-19:45:48,100,-81,-61,-93,-99,100,100,-78,-79,100,-93,100,100,-78,100,100,-75,-55,100,100,100,100,100,-93,100,53,53
46,2022-07-22-19:45:53,100,-81,-66,-99,-85,100,-89,-81,-73,100,-93,100,100,-78,100,100,-75,-55,100,100,100,100,100,100,100,53,53
47,2022-07-22-19:45:58,100,-81,-66,-99,-87,100,-94,-78,-73,100,100,100,100,-87,100,100,-75,-55,100,100,100,100,100,100,100,53,53
48,2022-07-22-19:46:03,100,-90,-61,-96,-88,100,-91,-81,-73,-99,100,100,100,-78,100,100,-66,-65,100,100,100,100,100,100,100,53,53
49,2022-07-22-19:46:08,100,-90,-61,-93,100,100,100,-81,-73,-99,-93,100,100,-79,100,100,-66,-54,100,100,100,100,100,-98,100,53,53
50,2022-07-22-19:46:13,100,-81,-61,100,-87,100,-91,-78,-81,100,100,100,100,-79,100,100,-67,-54,100,100,100,100,100,100,100,53,53
51,2022-07-22-19:46:18,100,-81,-61,-96,-85,100,-89,-81,-73,100,-92,100,100,-79,100,100,-67,-53,100,100,100,100,100,-97,100,53,53
52,2022-07-22-19:46:23,100,-90,-61,-93,-85,100,-89,-81,-79,100,-93,100,100,-79,100,100,-67,-55,100,100,100,100,100,100,100,53,53
53,2022-07-22-19:46:28,100,-89,-61,-99,-85,100,-91,-81,-73,100,100,100,100,-87,100,100,-66,-65,100,100,100,100,100,100,100,53,53
54,2022-07-22-19:46:33,100,-89,-66,100,-88,100,100,-81,-79,100,-93,100,100,-78,100,100,-75,-65,100,100,100,100,100,100,100,53,53
55,2022-07-22-19:46:38,100,-90,-61,-93,-88,100,-90,-96,-73,100,-93,100,100,-78,100,100,-66,-54,100,100,100,100,100,100,100,53,53
56,2022-07-22-19:46:43,100,-90,-61,100,100,100,-89,-81,-73,100,-93,100,100,-78,100,100,-67,-55,100,100,100,100,100,100,100,53,53
57,2022-07-22-19:46:48,100,-89,-61,-99,-87,100,100,-82,-73,100,100,100,100,-78,100,100,-67,-65,100,100,100,100,100,100,100,53,53
58,2022-07-22-19:46:53,100,-81,-61,100,-88,100,-94,-81,-80,100,100,100,100,-80,100,100,-66,-54,100,100,100,100,100,-92,100,53,53
59,2022-07-22-19:46:58,100,-90,-61,-93,-85,100,-90,-78,-73,100,100,100,100,-78,100,100,-75,-65,100,100,100,100,100,100,100,53,53
