RFstar_9120,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-14:06:23,-88,-83,-85,-96,-62,-89,-91,-85,-73,-97,100,-93,-87,-94,-73,-91,-87,-69,-71,100,-93,100,-97,100,-83,-93,50
1,2022-07-22-14:06:28,100,-57,-82,100,-60,100,-85,-90,-70,100,100,-91,100,-94,-82,-84,100,-70,-74,100,100,100,100,100,-85,-93,50
2,2022-07-22-14:06:33,100,-56,-83,100,-62,100,-93,-89,-68,100,100,100,-93,100,-82,-91,-92,-75,-73,100,-94,100,100,100,-81,-88,50
3,2022-07-22-14:06:38,100,-66,-88,100,-61,100,-86,100,-68,100,100,-87,100,100,-89,-91,-89,-66,-74,100,100,100,100,100,-78,-87,50
4,2022-07-22-14:06:43,100,-62,-79,100,-62,100,-88,-93,-70,100,100,100,100,100,-74,100,-85,-74,-73,100,-92,100,-87,100,-88,-95,50
5,2022-07-22-14:06:48,100,-56,-86,100,-60,100,-87,-88,-72,100,100,-96,100,-93,-74,-85,-92,-68,-82,100,-94,100,100,100,-85,-93,50
6,2022-07-22-14:06:53,-93,-56,100,100,-60,-86,-85,-89,-73,100,100,-87,100,-94,-71,-85,-89,-62,-73,100,-93,100,-89,100,-89,-95,50
7,2022-07-22-14:06:58,100,-56,100,100,-61,-87,-86,-93,-72,100,100,-86,100,-92,-73,-85,-89,-81,-73,100,-96,100,-88,100,-91,-94,50
8,2022-07-22-14:07:03,100,-55,-86,100,-59,-87,100,-88,-65,100,100,-88,100,100,-80,-91,-91,-74,-73,100,-93,100,-89,100,-94,-95,50
9,2022-07-22-14:07:08,100,-56,-86,100,-61,100,100,-88,-71,100,100,-88,100,100,-74,-90,-90,-74,-78,100,100,100,100,100,-92,100,50
10,2022-07-22-14:07:13,100,-56,-98,100,-61,-85,-88,-88,-72,100,100,-88,-91,100,-74,-85,-88,-68,-74,100,-95,100,-88,100,-88,-91,50
11,2022-07-22-14:07:18,-93,-56,-86,100,-61,-96,-89,-88,-72,100,100,-95,100,-93,-74,-85,-94,-74,-74,100,100,100,100,100,-88,-87,50
12,2022-07-22-14:07:23,100,-56,-86,100,-59,100,100,-91,-72,100,100,-88,100,100,-80,-85,-88,-68,-74,100,-94,100,100,100,-93,-95,50
