index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-21:10:07,-90,-63,-83,100,-76,-84,-88,-92,-82,100,100,-92,-94,-85,100,-85,-77,-95,100,100,100,100,100,-73,-88,32
1,2022-07-22-21:10:12,100,-61,-75,100,-76,-74,100,100,-68,100,100,-77,-83,100,100,-77,-70,-83,100,100,100,100,100,-85,-82,32
2,2022-07-22-21:10:17,-91,-67,-78,100,-73,-80,100,100,-87,100,100,-89,-89,-89,100,-87,-80,-92,100,100,100,100,100,-74,-82,32
3,2022-07-22-21:10:22,100,-67,-79,100,-77,-81,-95,100,-86,100,100,-89,-91,100,100,-88,-80,-96,100,100,100,100,100,-76,-83,32
4,2022-07-22-21:10:27,-75,-62,-75,100,-72,-74,-92,100,-74,100,100,-74,-76,-90,100,-84,-72,100,100,100,100,100,100,-83,-82,32
5,2022-07-22-21:10:32,-91,-66,-80,100,-79,-80,100,100,-75,100,100,-91,-91,100,100,-86,-86,-93,100,100,100,100,100,-75,-82,32
6,2022-07-22-21:10:37,-74,-63,-75,100,-73,-74,100,100,-68,100,100,-77,-81,-90,100,-77,-74,-84,100,100,100,100,100,-93,-81,32
7,2022-07-22-21:10:42,-74,-64,-78,100,100,-74,100,100,-78,100,100,-74,-75,-89,100,-81,100,100,100,100,100,100,100,-87,-87,32
8,2022-07-22-21:10:47,-74,-62,-73,100,-75,-74,100,100,-69,100,100,100,-84,100,100,-78,-73,-85,100,100,100,100,100,100,-82,32
9,2022-07-22-21:10:52,-75,-64,-71,100,-72,-75,100,100,-70,100,100,-74,-78,100,100,-83,-73,-86,100,100,100,100,100,-84,-85,32
10,2022-07-22-21:10:57,-92,-66,-79,100,-78,-80,-93,100,-77,100,100,-92,-94,100,100,-76,-80,100,100,100,100,100,100,-73,-82,32
11,2022-07-22-21:11:02,100,-61,-72,100,-76,-73,-93,100,-69,100,100,-77,-86,-94,100,-78,-74,100,100,100,100,100,100,-80,-82,32
12,2022-07-22-21:11:07,-89,-67,100,100,100,-80,-92,100,100,100,100,100,-86,100,100,-89,100,-88,100,100,100,100,100,-76,-95,32
13,2022-07-22-21:11:12,-76,-68,-72,100,-78,-80,-90,-100,-70,100,100,-77,-89,100,100,-85,-72,-82,100,100,100,100,100,-78,-78,32
14,2022-07-22-21:11:17,-74,-65,-71,100,-78,-76,100,100,-72,100,100,-74,-80,100,100,-84,-78,-84,100,100,100,100,100,-87,-82,32
15,2022-07-22-21:11:22,-90,-68,-78,100,-78,-82,-89,100,100,100,100,100,-88,100,100,-88,100,-91,100,100,100,100,100,-77,-93,32
16,2022-07-22-21:11:27,100,-66,-70,100,100,100,-92,100,-70,100,100,-75,100,100,100,100,-80,-87,100,100,100,100,100,100,-84,32
17,2022-07-22-21:11:32,-90,-67,-80,100,-77,-80,-97,100,-85,100,100,-84,-89,100,100,-89,-80,-91,100,100,100,100,100,-76,-84,32
18,2022-07-22-21:11:37,-75,-62,-73,100,-71,-78,-90,100,-67,100,100,-78,-89,-96,100,-79,-71,-86,100,100,100,100,100,-77,-79,32
19,2022-07-22-21:11:42,-74,-66,-70,100,-76,-74,100,100,-69,100,100,-74,-78,100,100,-82,-76,-83,100,100,100,100,100,-80,-84,32
20,2022-07-22-21:11:47,-76,-62,-73,100,-71,-79,100,100,100,100,100,100,-91,100,100,-79,-72,-85,100,100,100,100,100,-77,100,32
21,2022-07-22-21:11:52,-76,-66,-70,100,-76,-74,-90,100,-69,100,100,-74,-78,100,100,-82,-76,-84,100,100,100,100,100,-77,-84,32
22,2022-07-22-21:11:57,-90,-67,-78,100,-77,-81,-90,100,-69,100,100,-84,-87,-98,100,-88,-80,-88,100,100,100,100,100,-76,-92,32
23,2022-07-22-21:12:02,-75,-62,-73,100,-71,-78,100,100,-68,100,100,-84,-89,-96,100,-79,-72,-84,100,100,100,100,100,-77,-78,32
24,2022-07-22-21:12:07,-90,100,-78,100,100,100,-91,100,-88,100,100,-84,100,100,100,-79,100,100,100,100,100,100,100,-76,100,32
25,2022-07-22-21:12:12,-89,-67,-73,100,-71,-78,-91,100,-68,100,100,-79,-88,100,100,-79,-71,-85,100,100,100,100,100,-78,-79,32
26,2022-07-22-21:12:17,-74,-66,-70,100,-76,-74,-90,100,-69,100,100,-79,-78,100,100,-82,-76,-82,100,100,100,100,100,-79,-85,32
27,2022-07-22-21:12:22,-89,-66,-78,100,-77,-80,-91,100,-91,100,100,-84,-87,100,100,-88,-79,100,100,100,100,100,100,-76,-95,32
28,2022-07-22-21:12:27,-89,-67,100,100,-77,100,100,100,-89,100,100,100,-90,100,100,-89,100,100,100,100,100,100,100,-76,100,32
29,2022-07-22-21:12:32,-89,-66,-78,100,-77,-80,-92,100,-88,100,100,-84,-87,100,100,-88,-79,-85,100,100,100,100,100,-76,-93,32
30,2022-07-22-21:12:37,-76,-62,-73,100,-71,-78,-90,100,-67,100,100,-79,-90,-96,100,-79,-71,-84,100,100,100,100,100,-77,-79,32
31,2022-07-22-21:12:42,-74,-66,-70,100,-76,-74,100,100,-69,100,100,-74,-78,100,100,-82,-76,-82,100,100,100,100,100,-79,-84,32
32,2022-07-22-21:12:47,-74,100,-70,100,100,-74,100,100,-69,100,100,-74,-78,100,100,-82,100,100,100,100,100,100,100,-80,-84,32
33,2022-07-22-21:12:52,-74,-62,-73,100,-76,-78,-90,100,-69,100,100,-75,-78,-96,100,-80,-76,-84,100,100,100,100,100,-77,-78,32
34,2022-07-22-21:12:57,-91,-65,-78,100,-77,-80,-91,100,-89,100,100,-84,-88,100,100,-88,-79,-82,100,100,100,100,100,-76,-93,32
35,2022-07-22-21:13:02,-75,-62,-79,100,-71,-78,-91,100,-67,100,100,-79,-89,100,100,-79,-72,-84,100,100,100,100,100,-75,-79,32
36,2022-07-22-21:13:07,-75,-62,-73,100,-71,-76,-89,100,-67,100,100,100,-90,-97,100,-81,-72,-83,100,100,100,100,100,100,-81,32
37,2022-07-22-21:13:12,-90,-67,-78,100,-78,-80,-90,100,-89,100,100,-85,-91,100,100,-88,-80,-90,100,100,100,100,100,-76,-91,32
38,2022-07-22-21:13:17,-74,-65,-70,100,-71,-78,-90,100,-67,100,100,-75,-78,100,100,-78,-76,-83,100,100,100,100,100,-81,-79,32
39,2022-07-22-21:13:22,-89,-66,-78,100,-77,-80,-90,-97,-70,100,100,-84,-78,100,100,-88,-79,-83,100,100,100,100,100,-80,-93,32
40,2022-07-22-21:13:27,-89,-67,-78,100,-77,-80,-91,100,-88,100,100,-84,-87,100,100,100,-80,-90,100,100,100,100,100,-76,-93,32
