index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-85
0,2022-07-23-13:45:11,-93,-68,-95,100,-89,-72,-94,-100,-86,100,100,-88,-86,-95,100,-84,-77,-94,100,100,100,100,100,-63,-85,33,
1,2022-07-23-13:45:16,-86,-69,-95,100,-87,-76,-100,100,-83,100,100,-78,-72,-93,100,-81,-77,100,100,100,100,100,100,-69,-85,33,
2,2022-07-23-13:45:21,-92,-71,-89,100,-91,-69,100,100,-83,100,100,-87,-72,-92,100,-83,-76,-94,100,100,100,100,100,-58,-80,33,
3,2022-07-23-13:45:26,-89,-71,-89,100,-87,-75,100,100,-84,100,100,-82,-91,-93,100,-85,-93,-97,100,100,100,100,100,-62,-78,33,
4,2022-07-23-13:45:31,100,-72,-89,100,100,100,100,100,100,100,100,-95,-92,-90,100,100,-77,100,100,100,100,100,100,-62,-78,33,
5,2022-07-23-13:45:36,-86,-76,-92,100,-84,-68,100,100,-92,100,100,-83,-86,-88,100,-85,-85,-91,100,100,100,100,100,-63,-85,33,
6,2022-07-23-13:45:41,-84,-71,-97,100,-85,-78,-98,100,-85,100,100,-76,-75,-93,100,-82,-77,-96,100,100,100,100,100,-70,-84,33,
7,2022-07-23-13:45:46,-82,-70,-89,100,-90,-69,-97,100,-88,100,100,-89,-74,-93,100,-83,-78,100,100,100,100,100,100,-59,-79,33,
8,2022-07-23-13:45:51,100,100,-90,100,-92,-69,100,100,-89,100,100,100,-73,-90,100,100,-77,100,100,100,100,100,100,-59,100,33,
9,2022-07-23-13:45:56,-85,-70,100,100,-90,-69,100,100,-91,100,100,-78,-72,100,100,-83,-77,100,100,100,100,100,100,-71,-80,33,
10,2022-07-23-13:46:01,-89,-72,-90,100,-88,-76,100,100,-84,100,100,-82,-72,-94,100,-85,-91,-97,100,100,100,100,100,-63,-79,33,
11,2022-07-23-13:46:06,-85,-70,-88,100,-83,-70,100,100,-85,100,100,-78,-72,-94,100,-78,-82,-96,100,100,100,100,100,-63,-90,33,
12,2022-07-23-13:46:11,-81,-72,-96,100,-82,-71,100,100,-86,100,100,100,-73,-94,100,-81,-77,100,100,100,100,100,100,-69,-83,33,
13,2022-07-23-13:46:16,-90,-71,-89,100,-91,-76,100,100,-84,100,100,-79,-94,-94,100,-85,-91,-98,100,100,100,100,100,-63,-78,33,
14,2022-07-23-13:46:21,-82,-71,-98,100,-91,-69,-97,100,-89,100,100,-86,-72,-90,100,-83,-77,100,100,100,100,100,100,-59,-80,33,
15,2022-07-23-13:46:26,-90,-71,-89,100,-91,-76,100,100,-83,100,100,-82,-92,-90,100,-85,-77,100,100,100,100,100,100,-63,-79,33,
16,2022-07-23-13:46:31,-91,-71,-89,100,-91,-76,100,100,-84,100,100,-82,-90,-93,100,-85,-91,-96,100,100,100,100,100,-63,-79,33,
17,2022-07-23-13:46:36,-81,-69,-90,100,-88,-69,100,100,100,100,100,-87,-72,-92,100,-86,-83,100,100,100,100,100,100,-58,-77,33,
18,2022-07-23-13:46:41,-86,-71,-88,100,-90,-76,100,100,-85,100,100,-81,-72,-93,100,-80,-77,-98,100,100,100,100,100,-71,-90,33,
19,2022-07-23-13:46:46,-81,-69,-89,100,-91,-69,100,100,-90,100,100,-79,-72,100,100,-83,-77,100,100,100,100,100,100,-59,-80,33,
20,2022-07-23-13:46:51,-82,100,100,100,-90,-69,100,100,-89,100,100,-88,100,-90,100,-83,-77,100,100,100,100,100,100,-60,-80,33,
21,2022-07-23-13:46:56,-83,-72,-97,100,-84,-73,-98,100,-85,100,100,-84,100,100,100,-81,-77,100,100,100,100,100,100,100,-83,33,
22,2022-07-23-13:47:01,-82,-72,-89,100,-77,-68,100,100,-87,100,100,-89,-73,100,100,-88,-78,-90,100,100,100,100,100,-64,-80,33,
23,2022-07-23-13:47:06,-90,-71,-91,100,-85,-70,-97,100,-83,100,100,-79,-72,-93,100,-78,-77,-96,100,100,100,100,100,-71,-88,33,
24,2022-07-23-13:47:11,-84,-71,100,100,-86,-70,100,100,-82,100,100,-79,-72,100,100,-80,-74,100,100,100,100,100,100,-71,-95,33,
25,2022-07-23-13:47:16,-89,-71,-89,100,-92,-76,100,100,100,100,100,-82,-90,-94,100,-85,-92,-100,100,100,100,100,100,-63,-79,33,
26,2022-07-23-13:47:21,-85,-71,-89,100,-85,-70,-98,100,-85,100,100,-79,-71,-94,100,-80,-77,100,100,100,100,100,100,-71,-89,33,
27,2022-07-23-13:47:26,-81,-72,-90,100,-91,-76,100,100,-84,100,100,-81,-72,-90,100,-86,-77,100,100,100,100,100,100,-63,-80,33,
28,2022-07-23-13:47:31,-89,-71,-89,100,-91,-76,100,100,100,100,100,-81,-89,-95,100,-85,100,100,100,100,100,100,100,-63,-79,33,
29,2022-07-23-13:47:36,-81,-69,-90,100,100,-69,100,100,-89,100,100,-87,-72,-90,100,-83,-77,100,100,100,100,100,100,-58,-80,33,
30,2022-07-23-13:47:41,-90,-72,-89,100,-91,-76,100,100,-84,100,100,-81,-91,-93,100,-85,-90,100,100,100,100,100,100,-63,-79,33,
31,2022-07-23-13:47:46,-85,-71,-88,100,-86,-70,100,100,-89,100,100,-79,-72,-93,100,-80,-78,100,100,100,100,100,100,-71,-88,33,
32,2022-07-23-13:47:51,-82,-69,-90,100,-90,-69,100,100,-90,100,100,-85,-73,-90,100,-83,-77,100,100,100,100,100,100,-59,-80,33,
33,2022-07-23-13:47:56,-85,-71,100,100,-85,-70,100,100,-84,100,100,-78,-72,-98,100,-80,-77,100,100,100,100,100,100,-71,100,33,
