index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-81.68
0,2022-07-23-13:47:56,-79,-72,-87,100,-91,-78,-94,-96,-85,100,100,-94,-88,-94,100,-80,-90,-95,100,100,100,100,100,-61,-77,33,
1,2022-07-23-13:48:01,-83,-61,100,100,-67,-87,100,100,-75,100,100,-86,-82,100,100,-86,-77,-94,100,100,100,100,100,-67,-86,33,
2,2022-07-23-13:48:06,-89,-69,100,100,-67,-81,100,100,-89,100,100,-90,-85,100,100,-88,-79,-97,100,100,100,100,100,-58,-86,33,
3,2022-07-23-13:48:11,100,-68,-95,100,-71,-81,100,100,-84,100,100,-95,-82,-100,100,-85,-76,100,100,100,100,100,100,-61,-79,33,
4,2022-07-23-13:48:16,-85,-68,100,100,-68,-89,100,100,-75,100,100,-86,-82,-88,100,-85,-86,100,100,100,100,100,100,-60,-81,33,
5,2022-07-23-13:48:21,-85,-68,100,100,-68,-91,100,100,-85,100,100,-84,-80,100,100,-84,-86,100,100,100,100,100,100,-60,-81,33,
6,2022-07-23-13:48:26,-86,-58,-95,100,-72,-88,100,100,-76,100,100,-89,100,-87,100,-80,-76,100,100,100,100,100,100,-62,-78,33,
7,2022-07-23-13:48:31,-86,-68,100,100,-73,-77,100,100,-76,100,100,-88,-84,-87,100,-82,-86,100,100,100,100,100,100,-61,-81,33,
8,2022-07-23-13:48:36,-79,-59,100,100,-68,-79,100,100,-75,100,100,-85,-81,-88,100,-83,-86,100,100,100,100,100,100,-60,-75,33,
9,2022-07-23-13:48:41,-85,-58,100,100,-68,-78,100,100,-85,100,100,-89,-81,-88,100,-84,-76,100,100,100,100,100,100,-60,-81,33,
10,2022-07-23-13:48:46,-78,-68,100,100,-73,-76,100,100,-85,100,100,-84,-93,-89,100,-84,100,100,100,100,100,100,100,-60,-81,33,
11,2022-07-23-13:48:51,-78,-59,-95,100,-72,-76,100,100,-81,100,100,-85,-80,-89,100,-84,-85,100,100,100,100,100,100,-59,-79,33,
12,2022-07-23-13:48:56,-78,-68,100,100,-73,-78,100,100,-81,100,100,-85,-80,-89,100,-80,-76,100,100,100,100,100,100,-60,-76,33,
13,2022-07-23-13:49:01,100,-59,100,100,-75,-81,100,100,-87,100,100,-88,-81,-89,100,-80,-80,-94,100,100,100,100,100,-61,-81,33,
14,2022-07-23-13:49:06,-85,-65,-94,100,-73,-77,100,100,-75,100,100,-89,-80,-88,100,-84,-85,100,100,100,100,100,100,-62,-79,33,
15,2022-07-23-13:49:11,-85,-68,-95,100,-73,-90,100,100,-85,100,100,-90,-80,100,100,-80,-86,100,100,100,100,100,100,-59,-81,33,
16,2022-07-23-13:49:16,-85,-68,100,100,-68,-75,100,100,-75,100,100,-85,-80,-89,100,-84,-86,100,100,100,100,100,100,-60,-76,33,
17,2022-07-23-13:49:21,-85,-65,100,100,-72,-76,100,100,-75,100,100,-84,-82,100,100,-84,-85,100,100,100,100,100,100,-60,-83,33,
18,2022-07-23-13:49:26,-79,-65,100,100,-72,-78,100,100,-79,100,100,-86,-96,-89,100,-78,-76,100,100,100,100,100,100,-60,-81,33,
