index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,
0,2022-07-23-13:58:29,-86,-76,-91,100,-87,-76,100,100,-87,100,100,-77,-79,-87,100,-80,-85,-97,100,100,100,100,100,-59,-77,33,-81.9
1,2022-07-23-13:58:34,-85,-61,100,100,-67,-75,100,100,-87,100,100,-80,-80,-86,100,-77,-90,100,100,100,100,100,100,-61,-84,33,
2,2022-07-23-13:58:39,-92,-66,100,100,-74,-85,100,100,-91,100,100,-80,-85,-86,100,-82,-86,100,100,100,100,100,100,-62,-77,33,
3,2022-07-23-13:58:44,-90,-62,100,100,-73,-81,100,100,-90,100,100,-85,-84,-89,100,-80,-82,100,100,100,100,100,100,-62,-79,33,
4,2022-07-23-13:58:49,-86,-65,100,100,-82,-83,100,100,-91,100,100,-77,-78,-87,100,-74,-77,-93,100,100,100,100,100,-52,-76,33,
5,2022-07-23-13:58:54,100,-62,-96,100,-75,-90,100,100,-97,100,100,-78,-78,-91,100,-96,-82,100,100,100,100,100,100,-52,-79,33,
6,2022-07-23-13:58:59,-79,-62,100,100,-76,-83,100,100,-95,100,100,-83,-78,-87,100,-93,-77,-92,100,100,100,100,100,-52,-77,33,
7,2022-07-23-13:59:04,-78,-65,100,100,-83,-87,100,100,-89,100,100,-85,-82,-93,100,-85,-85,-93,100,100,100,100,100,-58,-79,33,
8,2022-07-23-13:59:09,-78,-62,100,100,-83,-87,100,100,-96,100,100,-85,-80,-93,100,-96,-93,-94,100,100,100,100,100,-58,-77,33,
9,2022-07-23-13:59:14,-85,-65,100,100,-66,-83,100,100,-91,100,100,-77,-80,-86,100,-86,-93,-93,100,100,100,100,100,-58,-79,33,
10,2022-07-23-13:59:19,-78,-62,100,100,-82,-88,100,100,-96,100,100,-77,-82,-87,100,-76,-85,-93,100,100,100,100,100,-58,-76,33,
11,2022-07-23-13:59:24,-82,-62,100,100,-66,-87,100,100,-91,100,100,-85,-83,-87,100,-86,-85,-93,100,100,100,100,100,-57,-76,33,
12,2022-07-23-13:59:29,-85,-62,100,100,-66,-83,100,100,-91,100,100,-78,-85,-93,100,-86,-77,-97,100,100,100,100,100,-51,-78,33,
13,2022-07-23-13:59:34,-84,-62,-96,100,-66,-84,100,100,-89,100,100,-76,-78,-86,100,-91,-77,-97,100,100,100,100,100,-51,-75,33,
14,2022-07-23-13:59:39,-78,-65,-96,100,-66,-82,100,100,-89,100,100,-86,-84,-86,100,-93,-85,-97,100,100,100,100,100,-51,-80,33,
15,2022-07-23-13:59:44,-79,-62,-95,100,-66,-85,100,100,-92,100,100,-82,-80,-87,100,-76,-89,-93,100,100,100,100,100,-51,-79,33,
16,2022-07-23-13:59:49,-78,-64,100,100,-76,-82,100,100,-89,100,100,-85,-82,-86,100,-76,-84,-97,100,100,100,100,100,-52,-76,33,
17,2022-07-23-13:59:54,-78,-62,100,100,-76,-82,100,100,-89,100,100,-77,-78,-87,100,-86,-85,-93,100,100,100,100,100,-51,-76,33,
18,2022-07-23-13:59:59,-78,-62,100,100,-66,-87,100,100,-91,100,100,-77,-80,-86,100,-95,-77,100,100,100,100,100,100,-52,-79,33,
19,2022-07-23-14:00:04,100,-65,100,100,-83,-87,100,100,-91,100,100,-78,-82,100,100,-86,-92,100,100,100,100,100,100,-58,-77,33,
