index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification,-84.68,-84.68
0,2022-07-23-14:08:15,-91,-77,-93,100,-70,-71,100,100,-88,100,100,-93,-76,-97,100,-84,-88,-98,100,100,100,100,100,-54,-83,34,,
1,2022-07-23-14:08:20,-89,-63,100,100,-81,-69,100,100,-85,100,100,-83,-87,100,100,-83,-88,100,100,100,100,100,100,-61,-88,34,,
2,2022-07-23-14:08:25,-89,-64,100,100,-72,-68,100,100,-88,100,100,-80,-91,100,100,-88,-83,100,100,100,100,100,100,-65,-83,34,,
3,2022-07-23-14:08:30,100,-66,100,100,-72,-87,100,100,-84,100,100,-77,-89,-91,100,-84,-86,-99,100,100,100,100,100,-58,-84,34,,
4,2022-07-23-14:08:35,-84,-68,100,100,-72,-70,100,100,100,100,100,-85,-87,-90,100,-86,-86,100,100,100,100,100,100,-63,-89,34,,
5,2022-07-23-14:08:40,-83,-68,100,100,-74,-78,100,100,-84,100,100,-78,-86,-90,100,-86,-87,100,100,100,100,100,100,-59,-85,34,,
6,2022-07-23-14:08:45,-86,-64,100,100,-82,-69,100,100,-90,100,100,-80,-86,-90,100,-79,-82,100,100,100,100,100,100,-61,-84,34,,
7,2022-07-23-14:08:50,-95,-62,100,100,-71,-68,100,100,100,100,100,-91,-76,-88,100,-76,-85,100,100,100,100,100,100,-74,-84,34,,
8,2022-07-23-14:08:55,-89,-63,100,100,-71,-69,100,100,-85,100,100,-86,-87,-88,100,-81,-88,100,100,100,100,100,100,-59,-84,34,,
9,2022-07-23-14:09:00,-90,-63,100,100,-71,-68,100,100,-94,100,100,-86,-78,-88,100,-76,-85,100,100,100,100,100,100,-77,-82,34,,
10,2022-07-23-14:09:05,100,-63,100,100,-74,-68,100,100,-85,100,100,-78,-78,-90,100,-76,-89,100,100,100,100,100,100,-61,-82,34,,
11,2022-07-23-14:09:10,-90,-63,100,100,-81,-68,100,100,-94,100,100,-77,-85,-90,100,-80,-85,100,100,100,100,100,100,-61,-82,34,,
12,2022-07-23-14:09:15,-95,-67,100,100,-81,-80,100,100,-85,100,100,-93,-85,100,100,-76,-85,100,100,100,100,100,100,-77,-82,34,,
13,2022-07-23-14:09:20,-90,-63,100,100,-71,-68,100,100,-94,100,100,-88,-79,-88,100,-76,-88,-98,100,100,100,100,100,-77,-82,34,,
