index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,RFstar_9120
0,2022-11-19-09:48:27:352,-91,-72,-76,100,-72,-85,-93,-90,-88,100,100,-92,-86,-82,100,-90,-69,-81,100,100,-79,100,100,-74,-89,100
1,2022-11-19-09:48:30:933,100,-80,-84,100,-79,100,100,-93,-80,100,100,100,100,100,100,100,-73,100,100,100,100,100,100,-97,100,100
2,2022-11-19-09:48:34:099,100,-82,-67,100,-84,100,-92,-91,-76,100,100,100,100,-91,100,100,-74,100,100,100,100,100,100,100,100,100
3,2022-11-19-09:48:37:066,100,-80,100,100,-90,100,-89,-82,-75,100,100,100,100,-81,100,100,-78,-64,100,100,100,100,100,100,100,100
4,2022-11-19-09:48:40:230,100,-89,-78,100,100,100,-86,-78,-93,100,100,100,100,-91,100,100,100,-74,100,100,100,100,100,100,100,100
5,2022-11-19-09:48:43:393,100,-93,-76,-95,-88,100,-71,-82,-80,-93,100,100,100,-94,-95,100,-80,-60,-84,-91,100,-91,100,100,100,100
6,2022-11-19-09:48:46:584,100,-90,-67,-84,-82,100,-90,-92,-78,-83,100,100,100,-81,-89,100,-64,-77,-86,-82,100,-88,100,-86,100,100
7,2022-11-19-09:48:49:540,100,-73,-85,-84,-74,100,-84,-93,-65,-83,100,100,100,-80,100,100,-85,-80,-81,-81,100,100,-84,-88,100,-94
8,2022-11-19-09:48:52:710,-95,-70,-85,-83,-72,-92,-83,100,-83,-91,100,100,100,-76,-87,100,-88,-88,-84,-88,100,-90,-81,-83,-89,100
9,2022-11-19-09:48:55:780,-85,-61,-89,-89,-81,-88,-88,-92,-82,-93,100,-78,-80,-73,-85,-84,-78,-93,-83,-82,100,-91,-87,-78,-82,-95
10,2022-11-19-09:48:58:825,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,-85,100,100,100,100,100,100,100,100
