index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-12-04-15:25:26:436,-80,-69,-96,100,-76,-84,-93,-95,-72,100,100,100,-81,-86,-90,100,-85,-78,-92,100,100,-87,100,100,-73,-90
1,2022-12-04-15:25:41:249,100,-70,-74,100,-73,100,-91,-91,-80,100,100,100,-95,100,-80,100,100,-64,-75,100,100,100,100,100,-73,-92
2,2022-12-04-15:26:00:824,100,-73,-80,100,-77,100,-89,100,-70,100,100,100,-94,100,-90,100,-92,-71,-83,100,100,100,100,100,-92,-99
3,2022-12-04-15:26:18:397,100,-67,-73,100,-74,100,-96,-87,-65,100,100,100,100,100,-94,100,100,-65,-76,100,100,100,100,100,-92,-97
4,2022-12-04-15:26:36:403,100,-82,-69,100,-78,100,-91,-100,-56,100,100,100,100,100,-93,100,-94,-85,-78,100,100,100,100,100,-97,100
5,2022-12-04-15:26:45:783,100,-85,-72,100,-74,100,-90,-82,-51,100,100,100,100,100,-84,100,100,-80,-66,100,100,100,100,100,-90,100
6,2022-12-04-15:26:58:531,100,-81,-68,100,-80,100,-83,-81,-53,100,100,100,100,100,-83,100,100,-81,-84,100,100,100,100,100,-99,100
7,2022-12-04-15:27:05:089,100,-91,-75,100,-85,100,-86,-91,-59,100,100,100,100,100,-84,100,100,-79,-72,100,100,100,100,100,100,100
8,2022-12-04-15:27:14:124,100,-86,-68,100,-88,100,-89,-81,-68,100,100,100,100,100,-95,100,100,-92,-76,100,100,100,100,100,100,100
9,2022-12-04-15:27:26:570,100,-93,-71,100,-91,100,-84,-88,-69,100,100,100,100,100,-92,100,100,-81,-69,100,100,100,100,100,100,100
10,2022-12-04-15:27:34:990,100,-85,-67,100,-90,100,-90,-86,-82,100,100,100,100,100,-83,100,100,-82,-64,100,100,100,100,100,100,100
11,2022-12-04-15:27:43:744,100,-82,-56,100,-90,100,-86,-89,-77,100,100,100,100,100,-96,100,100,-81,-76,100,100,100,100,100,100,100
