index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-12-01-14:02:29:423,-88,-77,-81,100,-72,-82,100,-96,-72,100,100,100,-90,-81,-79,100,-91,-76,-87,100,100,100,100,100,-74,-87
1,2022-12-01-14:02:30:471,100,100,-76,100,-82,-91,-93,-92,100,100,100,100,100,100,-81,100,100,100,-91,100,100,100,100,100,-77,-96
2,2022-12-01-14:02:31:085,100,-68,100,100,-76,100,100,100,-72,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,-82,-98
3,2022-12-01-14:02:31:724,100,-76,-78,100,100,100,-93,100,-65,100,100,100,100,100,100,100,-96,-72,-82,100,100,100,100,100,100,100
4,2022-12-01-14:02:32:432,100,100,-74,100,-72,100,100,100,100,100,100,100,100,100,-87,100,100,-77,100,100,100,100,100,100,100,100
5,2022-12-01-14:02:33:190,100,-75,100,100,100,100,100,-91,-56,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100
6,2022-12-01-14:02:33:876,100,-76,-72,100,100,100,100,100,-51,100,100,100,100,100,-90,100,100,100,-91,100,100,100,100,100,100,100
7,2022-12-01-14:02:34:525,100,100,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,2022-12-01-14:02:35:207,100,-85,100,100,100,100,-90,-90,-53,100,100,100,100,100,100,100,100,-91,-62,100,100,100,100,100,100,100
9,2022-12-01-14:02:35:847,100,100,-89,100,100,100,100,100,-61,100,100,100,100,100,100,100,100,100,-66,100,100,100,100,100,100,100
10,2022-12-01-14:02:36:613,100,100,-74,100,100,100,100,-89,-71,100,100,100,100,100,100,100,100,-83,-74,100,100,100,100,100,100,100
11,2022-12-01-14:02:37:262,100,100,100,100,100,100,100,-93,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100
12,2022-12-01-14:02:37:897,100,-91,-64,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,-78,100,100,100,100,100,100,100
13,2022-12-01-14:02:38:601,100,100,-63,100,-90,100,100,100,-78,100,100,100,100,100,100,100,100,-79,-64,100,100,100,100,100,100,100
14,2022-12-01-14:02:39:253,100,-92,100,100,100,100,-91,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100
15,2022-12-01-14:02:39:935,100,100,-57,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
