index,time,rvX,rvY,rvZ,rvW,gacX,gacY,gacZ,lacX,lacY,lacZ
0,2022-11-19-14:27:43:827,0.082933635,-0.07319294,-0.7478494,0.65458846,-0.36169496,2.0927658,9.573917,-0.2259157,0.023318052,0.8114147
1,2022-11-19-14:27:43:835,0.082933635,-0.07319294,-0.7478494,0.65458846,-0.36169496,2.0927658,9.573917,-0.2259157,0.023318052,0.8114147
2,2022-11-19-14:27:43:846,0.08234613,-0.072699964,-0.7479095,0.65464896,-0.34750593,2.0835512,9.576452,-0.10063046,-0.02414751,0.5698271
3,2022-11-19-14:27:43:857,0.08301107,-0.07271748,-0.7479982,0.65446174,-0.34750593,2.0835512,9.576452,-0.10063046,-0.02414751,0.5698271
4,2022-11-19-14:27:43:868,0.08301107,-0.07271748,-0.7479982,0.65446174,-0.33239636,2.0930104,9.574925,0.011152059,-0.02720046,0.10120869
5,2022-11-19-14:27:43:879,0.08297317,-0.07303156,-0.7479741,0.654459,-0.33239636,2.0930104,9.574925,0.011152059,-0.02720046,0.10120869
6,2022-11-19-14:27:43:890,0.08296938,-0.07306298,-0.7479717,0.65445876,-0.31421676,2.1059134,9.57271,0.1461361,0.026342154,0.0653429
7,2022-11-19-14:27:43:901,0.08296938,-0.07306298,-0.7479717,0.65445876,-0.31421676,2.1059134,9.57271,0.1461361,0.026342154,0.0653429
8,2022-11-19-14:27:43:911,0.084752396,-0.07286824,-0.7478556,0.6543847,-0.2953865,2.117171,9.5708275,0.20845425,-0.058711052,-0.059493065
9,2022-11-19-14:27:43:922,0.089140765,-0.07461443,-0.7475715,0.6539293,-0.286135,2.127629,9.568789,0.08637214,-0.05368924,-0.15254116
10,2022-11-19-14:27:43:932,0.089140765,-0.07461443,-0.7475715,0.6539293,-0.286135,2.127629,9.568789,0.08637214,-0.05368924,-0.15254116
11,2022-11-19-14:27:43:942,0.09078347,-0.07432235,-0.74775726,0.65352404,-0.286135,2.127629,9.568789,0.08637214,-0.05368924,-0.15254116
12,2022-11-19-14:27:43:953,0.09177731,-0.07697751,-0.74744344,0.6534369,-0.27968147,2.135227,9.5672865,-0.018648237,-0.030301332,-0.3106737
13,2022-11-19-14:27:43:964,0.09177731,-0.07697751,-0.74744344,0.6534369,-0.2634334,2.1311836,9.568649,0.019834936,-0.02212143,-0.22775078
14,2022-11-19-14:27:43:974,0.088917926,-0.07486411,-0.748122,0.6533012,-0.2634334,2.1311836,9.568649,0.019834936,-0.02212143,-0.22775078
15,2022-11-19-14:27:43:987,0.088917926,-0.07486411,-0.748122,0.6533012,-0.24963713,2.124212,9.570569,0.022565782,0.026699305,-0.15298367
16,2022-11-19-14:27:43:997,0.088917926,-0.07486411,-0.748122,0.6533012,-0.24963713,2.124212,9.570569,0.022565782,0.026699305,-0.15298367
17,2022-11-19-14:27:44:006,0.08876259,-0.067542925,-0.7489908,0.6531248,-0.24336682,2.1169827,9.572332,0.021001577,0.022325039,-0.047945023
18,2022-11-19-14:27:44:019,0.08876259,-0.067542925,-0.7489908,0.6531248,-0.24336682,2.1169827,9.572332,0.021001577,0.022325039,-0.047945023
19,2022-11-19-14:27:44:028,0.08685781,-0.0675087,-0.7489714,0.6534066,-0.235068,2.107305,9.574675,0.04621406,-0.032969475,0.06055069
20,2022-11-19-14:27:44:040,0.08484011,-0.06656428,-0.74910825,0.6536117,-0.235068,2.107305,9.574675,0.04621406,-0.032969475,0.06055069
21,2022-11-19-14:27:44:050,0.08484011,-0.06656428,-0.74910825,0.6536117,-0.22420861,2.0981538,9.576944,0.040132627,-0.036385536,0.100749016
