,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,classification
1,-81,-82,100,100,-87,-72,100,100,100,100,100,100,-77,-78,-89,100,100,100,100,100,100,100,100,100,-62,34
2,-80,100,100,100,-92,100,100,100,100,100,100,100,-77,-77,-89,100,100,100,100,100,100,100,100,100,-55,34
3,-84,-86,100,100,-82,-71,100,100,100,100,100,100,-82,-85,-95,100,-89,-87,100,100,100,100,100,100,-53,34
4,-80,-76,100,100,100,-61,100,100,100,100,100,100,-76,-79,100,100,-78,-88,100,100,100,100,100,100,-53,34
5,-87,-88,100,100,-91,-69,100,100,-92,100,100,100,-84,-88,-94,100,100,-91,100,100,100,100,100,100,-64,34
6,-87,-83,100,100,100,-69,100,100,100,100,100,100,-80,100,100,100,-90,100,100,100,100,100,100,100,-52,34
7,-81,-76,100,100,-95,-62,100,100,100,100,100,100,-78,-78,-88,100,-80,-88,100,100,100,100,100,100,-54,34
8,-82,-77,100,100,-81,-69,100,100,100,100,100,100,-82,-85,100,100,-90,-89,100,100,100,100,100,100,-53,34
9,-79,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-52,34
10,-80,-82,100,100,100,100,100,100,100,100,100,100,-77,100,100,100,-81,100,100,100,100,100,100,100,-53,34
11,-84,-83,100,100,-83,-72,100,100,100,100,100,100,-82,-79,-95,100,-90,-88,100,100,100,100,100,100,-53,34
12,-82,-82,100,100,-88,-62,100,100,100,100,100,100,-77,-78,-89,100,-81,-95,100,100,100,100,100,100,-54,34
13,-84,-87,100,100,-82,-69,100,100,-91,100,100,100,-82,-86,100,100,-88,-88,100,100,100,100,100,100,-54,34
14,100,-87,100,100,-82,100,100,100,100,100,100,100,-83,-86,-96,100,-89,-89,100,100,100,100,100,100,-53,34
15,-84,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,100,100,-78,-88,100,100,100,100,100,100,-54,34
16,-83,-82,100,100,-82,-69,100,100,100,100,100,100,-77,-86,-88,100,-82,-89,100,100,100,100,100,100,-53,34
17,-82,-77,100,100,-88,-62,100,100,-93,100,100,100,-76,-78,-89,100,-77,-89,100,100,100,100,100,100,-53,34
18,-82,-77,100,100,100,-62,100,100,100,100,100,100,-76,-78,-95,100,-77,-90,100,100,100,100,100,100,-54,34
19,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-94,100,100,100,100,100,100,-53,34
20,-82,-77,100,100,-89,-69,100,100,100,100,100,100,-76,-78,-95,100,-77,-89,100,100,100,100,100,100,-54,34
21,-83,-82,100,100,-90,-72,100,100,100,100,100,100,-78,-88,-88,100,-89,-88,100,100,100,100,100,100,-53,34
22,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-80,-88,100,-81,100,100,100,100,100,100,100,-53,34
23,-82,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-85,-96,100,-89,-88,100,100,100,100,100,100,-53,34
24,-80,-82,100,100,-90,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-54,34
25,-84,-89,100,100,-83,-62,100,100,-92,100,100,100,-82,-85,100,100,-89,-89,100,100,100,100,100,100,-53,34
26,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-86,-94,100,-89,-88,100,100,100,100,100,100,-53,34
27,-82,-77,100,100,-88,-62,100,100,-91,100,100,100,-76,-78,100,100,-77,-88,100,100,100,100,100,100,-53,34
28,-84,-88,100,100,-83,-69,100,100,100,100,100,100,-82,-85,-96,100,-90,-92,100,100,100,100,100,100,-53,34
29,-80,-82,100,100,-88,-71,100,100,100,100,100,100,-76,-78,-88,100,-81,-89,100,100,100,100,100,100,-53,34
30,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-96,100,-76,-88,100,100,100,100,100,100,-53,34
31,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-53,34
32,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-88,100,-77,-87,100,100,100,100,100,100,-53,34
33,-84,-87,100,100,-83,-69,100,100,100,100,100,100,-82,-86,-95,100,-89,-88,100,100,100,100,100,100,-53,34
34,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-82,-93,100,100,100,100,100,100,-53,34
35,-84,-88,100,100,-82,-69,100,100,100,100,100,100,100,-86,-96,100,-90,-89,100,100,100,100,100,100,-53,34
36,-80,-82,100,100,-82,-72,100,100,100,100,100,100,-78,-78,-88,100,-81,-88,100,100,100,100,100,100,-53,34
37,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-79,100,100,-77,-88,100,100,100,100,100,100,-54,34
38,-84,-88,100,100,-82,-71,100,100,100,100,100,100,-82,-86,-95,100,-90,-88,100,100,100,100,100,100,-54,34
39,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,100,-98,100,-77,100,100,100,100,100,100,100,-53,34
40,-84,-88,100,100,-83,-69,100,100,-92,100,100,100,-83,-86,-97,100,-89,-88,100,100,100,100,100,100,-54,34
41,-80,-82,100,100,-83,-71,100,100,100,100,100,100,-77,-78,-88,100,-82,-89,100,100,100,100,100,100,-55,34
42,-82,-77,100,100,-89,-62,100,100,-91,100,100,100,-76,-78,-89,100,-77,-88,100,100,100,100,100,100,-54,34
43,-80,-82,100,100,100,-72,100,100,100,100,100,100,100,-78,100,100,-81,100,100,100,100,100,100,100,100,34
44,-82,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,-90,100,-77,-88,100,100,100,100,100,100,-54,34
45,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-86,-95,100,-89,-88,100,100,100,100,100,100,-53,34
46,-80,-83,100,100,-84,-71,100,100,100,100,100,100,-77,-78,100,100,-81,-89,100,100,100,100,100,100,-53,34
47,-84,-89,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,-81,100,100,100,100,100,100,100,-53,34
48,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,-88,100,100,100,100,100,100,-53,34
49,-82,-76,100,100,-88,-62,100,100,-91,100,100,100,-77,-78,-88,100,-77,-88,100,100,100,100,100,100,-54,34
50,-84,-88,100,100,-82,-69,100,100,100,100,100,100,-82,-85,100,100,-89,-89,100,100,100,100,100,100,-56,34
51,100,-87,100,100,-83,-69,100,100,100,100,100,100,-83,-87,100,100,-90,-89,100,100,100,100,100,100,100,34
52,-85,-76,100,100,-83,-69,100,100,-92,100,100,100,-82,-86,-93,100,-90,-88,100,100,100,100,100,100,-55,34
53,-80,-82,100,100,-90,-71,100,100,100,100,100,100,-83,-78,-88,100,-82,-89,100,100,100,100,100,100,-54,34
54,-82,-77,100,100,-89,-62,100,100,-94,100,100,100,-77,-78,-88,100,-77,-89,100,100,100,100,100,100,-53,34
55,100,-77,100,100,-88,-62,100,100,100,100,100,100,-76,-78,100,100,-77,-88,100,100,100,100,100,100,-53,34
56,-82,-82,100,100,-90,-62,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,-53,34
57,-83,-88,100,100,-82,-69,100,100,-94,100,100,100,-82,-86,-95,100,-89,-89,100,100,100,100,100,100,-54,34
58,-80,-82,100,100,-82,-72,100,100,100,100,100,100,-77,-78,-94,100,-81,-89,100,100,100,100,100,100,-53,34
59,-80,-82,100,100,-89,-72,100,100,100,100,100,100,-77,-78,-88,100,-81,100,100,100,100,100,100,100,100,34
1,-81,-82,100,100,-84,-69,100,100,100,100,100,100,-80,-83,-96,100,-77,-94,100,100,100,100,100,100,-52,34
2,-81,-73,100,100,-76,-71,100,100,-93,100,100,100,-86,-80,-89,100,-77,100,100,100,100,100,100,100,-52,34
3,-88,-74,100,100,-76,-72,100,100,100,100,100,100,-80,-77,100,100,-74,-93,100,100,100,100,100,100,-53,34
4,-91,-73,100,100,-77,-72,100,100,100,100,100,100,-79,-79,100,100,-81,100,100,100,100,100,100,100,-53,34
5,-80,-81,100,100,-86,-72,100,100,100,100,100,100,-86,-76,-96,100,-75,100,100,100,100,100,100,100,-53,34
